"ID","No of chains","No of signals"
"3BH2_RAT",0,0
"3BH3_MOUSE",0,0
"3BH3_RAT",0,0
"3BHS_BOVIN",0,0
"3BHS_MACMU",0,0
"4F2_HUMAN",0,0
"4F2_MOUSE",0,0
"5HT1_DROME",0,0
"5HT2_CRIGR",0,0
"5HT2_HUMAN",0,0
"5HT2_RAT",0,0
"5HT3_MOUSE",1,1
"5HTA_DROME",0,0
"5HTA_HUMAN",0,0
"5HTA_RAT",0,0
"5HTB_DROME",0,0
"5HTB_MOUSE",0,0
"5HTB_RAT",0,0
"5HTC_HUMAN",0,0
"5HTC_RAT",0,0
"5HTD_CANFA",0,0
"5HTD_HUMAN",0,0
"5HTD_RAT",0,0
"5HTE_HUMAN",0,0
"5HTE_MOUSE",0,0
"5HTX_HUMAN",0,0
"7LES_DROME",0,0
"7LES_DROVI",0,0
"A1AA_HUMAN",0,0
"A1AA_RAT",0,0
"A1AB_CANFA",0,0
"A1AB_MESAU",0,0
"A1AB_RAT",0,0
"A1AC_BOVIN",0,0
"A2AA_HUMAN",0,0
"A2AA_MOUSE",0,0
"A2AA_PIG",0,0
"A2AA_RAT",0,0
"A2AB_HUMAN",0,0
"A2AB_MOUSE",0,0
"A2AB_RAT",0,0
"A2AC_HUMAN",0,0
"A2AC_MOUSE",0,0
"A2AC_RAT",0,0
"A4_DROME",1,1
"A4_HUMAN",2,1
"A4_MOUSE",1,1
"A4_RAT",1,1
"A5_XENLA",1,1
"AA1R_BOVIN",0,0
"AA1R_CANFA",0,0
"AA1R_HUMAN",0,0
"AA1R_RAT",0,0
"AA2A_CANFA",0,0
"AA2A_HUMAN",0,0
"AA2A_RAT",0,0
"AA2B_HUMAN",0,0
"AA2B_RAT",0,0
"AA64_HUMAN",0,0
"ACE_HUMAN",1,1
"ACE_MOUSE",1,1
"ACE_RABIT",1,1
"ACET_HUMAN",1,1
"ACET_MOUSE",1,1
"ACET_RABIT",1,1
"ACH1_DROME",1,1
"ACH1_SCHGR",1,1
"ACH1_XENLA",1,1
"ACH2_CHICK",1,1
"ACH2_DROME",1,1
"ACH2_RAT",1,1
"ACH2_XENLA",1,1
"ACH3_CARAU",1,1
"ACH3_CHICK",1,1
"ACH3_DROME",1,1
"ACH3_RAT",1,1
"ACH4_CHICK",1,1
"ACH4_DROME",1,1
"ACH4_RAT",1,1
"ACH5_CHICK",1,1
"ACH5_HUMAN",1,1
"ACH5_RAT",1,1
"ACH7_CHICK",1,1
"ACHA_BOVIN",1,1
"ACHA_CHICK",1,1
"ACHA_ELEEL",0,0
"ACHA_HUMAN",1,1
"ACHA_MOUSE",1,1
"ACHA_RAT",1,1
"ACHA_TORCA",1,1
"ACHA_TORMA",1,1
"ACHB_BOVIN",1,1
"ACHB_CHICK",1,1
"ACHB_ELEEL",0,0
"ACHB_HUMAN",1,1
"ACHB_MOUSE",1,1
"ACHB_RAT",1,1
"ACHB_TORCA",1,1
"ACHD_BOVIN",1,1
"ACHD_CHICK",1,1
"ACHD_ELEEL",0,0
"ACHD_MOUSE",1,1
"ACHD_RAT",1,1
"ACHD_TORCA",1,1
"ACHD_XENLA",1,1
"ACHE_BOVIN",1,1
"ACHE_MOUSE",1,1
"ACHE_RAT",1,1
"ACHG_BOVIN",1,1
"ACHG_CHICK",1,1
"ACHG_ELEEL",0,0
"ACHG_HUMAN",1,1
"ACHG_MOUSE",1,1
"ACHG_RAT",1,1
"ACHG_TORCA",1,1
"ACHG_XENLA",1,1
"ACHN_CARAU",0,0
"ACHN_CHICK",1,1
"ACHN_HUMAN",1,1
"ACHN_RAT",1,1
"ACHO_CARAU",1,1
"ACHO_RAT",1,1
"ACHP_CARAU",1,1
"ACHP_CHICK",1,1
"ACHP_RAT",1,1
"ACM1_DROME",0,0
"ACM1_HUMAN",0,0
"ACM1_MOUSE",0,0
"ACM1_PIG",0,0
"ACM1_RAT",0,0
"ACM2_CHICK",0,0
"ACM2_HUMAN",0,0
"ACM2_PIG",0,0
"ACM2_RAT",0,0
"ACM3_HUMAN",0,0
"ACM3_PIG",0,0
"ACM3_RAT",0,0
"ACM4_CHICK",0,0
"ACM4_HUMAN",0,0
"ACM4_RAT",0,0
"ACM4_XENLA",0,0
"ACM5_HUMAN",0,0
"ACM5_RAT",0,0
"ACO1_YEAST",0,0
"AD1_RAT",0,0
"ADP1_YEAST",1,1
"ADT_CHLRE",0,0
"ADT_NEUCR",0,0
"ADT_RICPR",0,0
"ADT1_BOVIN",0,0
"ADT1_HUMAN",0,0
"ADT1_MAIZE",1,0
"ADT1_SOLTU",1,0
"ADT1_YEAST",0,0
"ADT2_HUMAN",0,0
"ADT2_MAIZE",1,0
"ADT2_SOLTU",1,0
"ADT2_YEAST",0,0
"ADT3_HUMAN",0,0
"ADT3_YEAST",0,0
"AG2R_BOVIN",0,0
"AG2R_HUMAN",0,0
"AG2R_MOUSE",0,0
"AG2R_PIG",0,0
"AG2R_RAT",0,0
"AG2S_MOUSE",0,0
"AG2S_RAT",0,0
"AIL_YEREN",1,1
"ALG1_YEAST",0,0
"ALKB_PSEOL",0,0
"AMA1_PLACH",1,1
"AMA1_PLAFA",1,1
"AMA1_PLAFR",1,1
"AMD_BOVIN",1,1
"AMD_HUMAN",1,1
"AMD_RAT",1,1
"AMD2_XENLA",1,1
"AMFR_HUMAN",1,1
"AMIC_STRPN",0,0
"AMID_STRPN",0,0
"AMPE_ECOLI",0,0
"AMPE_MOUSE",0,0
"AMPN_HUMAN",0,0
"AMPN_PIG",0,0
"AMPN_RABIT",0,0
"AMPN_RAT",0,0
"AMPR_HUMAN",1,1
"ANPA_HUMAN",1,1
"ANPA_MOUSE",1,1
"ANPA_RAT",1,1
"ANPB_HUMAN",1,1
"ANPB_RAT",1,1
"ANPC_BOVIN",1,1
"ANPC_HUMAN",1,1
"AOAH_HUMAN",2,1
"AOX1_SAUGU",1,0
"APPB_ECOLI",0,0
"APPC_ECOLI",0,0
"ARAE_ECOLI",0,0
"ARCB_ECOLI",0,0
"ARCD_PSEAE",0,0
"AROP_ECOLI",0,0
"ARP4_STRPY",1,1
"ARSB_ECOLI",0,0
"ARSB_STAAU",0,0
"ARSB_STAXY",0,0
"ASA1_ENTFA",1,1
"ATC1_YEAST",0,0
"ATC2_YEAST",0,0
"ATC3_SCHPO",0,0
"ATCA_RABIT",0,0
"ATCB_CHICK",0,0
"ATCB_DROME",0,0
"ATCB_RABIT",0,0
"ATCD_FELCA",0,0
"ATCD_HUMAN",0,0
"ATCD_PIG",0,0
"ATCD_RABIT",0,0
"ATCD_RAT",0,0
"ATCE_HUMAN",0,0
"ATCE_PIG",0,0
"ATCE_RABIT",0,0
"ATCE_RAT",0,0
"ATCF_RAT",0,0
"ATCP_RAT",0,0
"ATCQ_HUMAN",0,0
"ATCQ_PIG",0,0
"ATCQ_RABIT",0,0
"ATCQ_RAT",0,0
"ATCR_HUMAN",0,0
"ATH1_ARATH",0,0
"ATH1_CANAL",0,0
"ATH1_LYCES",0,0
"ATH1_SCHPO",0,0
"ATH1_YEAST",0,0
"ATH2_ARATH",0,0
"ATH2_LYCES",0,0
"ATH2_SCHPO",0,0
"ATH2_YEAST",0,0
"ATH3_ARATH",0,0
"ATHA_HUMAN",0,0
"ATHA_PIG",0,0
"ATHA_RABIT",0,0
"ATHA_RAT",0,0
"ATHB_PIG",0,0
"ATHB_RABIT",0,0
"ATHB_RAT",0,0
"ATHP_NEUCR",0,0
"ATHP_ZYGRO",0,0
"ATK_ENTFA",0,0
"ATKB_ECOLI",0,0
"ATMB_SALTY",0,0
"ATMC_SALTY",0,0
"ATN1_BUFMA",0,0
"ATN1_CHICK",1,0
"ATN1_HORSE",1,0
"ATN1_HUMAN",1,0
"ATN1_PIG",1,0
"ATN1_RAT",1,0
"ATN1_SHEEP",1,0
"ATN2_CHICK",0,0
"ATN2_RAT",1,0
"ATN3_CHICK",0,0
"ATN3_HUMAN",0,0
"ATN3_PIG",1,0
"ATN3_RAT",0,0
"ATNA_ARTSA",0,0
"ATNA_ARTSF",0,0
"ATNA_CATCO",0,0
"ATNA_DROME",0,0
"ATNA_TORCA",1,0
"ATNB_ARTSA",0,0
"ATNB_BUFMA",0,0
"ATNB_CANFA",0,0
"ATNB_CHICK",0,0
"ATNB_HUMAN",0,0
"ATNB_MOUSE",0,0
"ATNB_PIG",0,0
"ATNB_RAT",0,0
"ATNB_SHEEP",0,0
"ATNB_TORCA",0,0
"ATNC_BUFMA",0,0
"ATNC_HUMAN",0,0
"ATNC_MOUSE",0,0
"ATNC_RAT",0,0
"ATNC_XENLA",0,0
"ATP6_ANASP",0,0
"ATP6_BACAO",0,0
"ATP6_BACFI",0,0
"ATP6_BACME",0,0
"ATP6_ECOLI",0,0
"ATP6_PROMO",0,0
"ATP6_PSEPU",0,0
"ATP6_RHORU",0,0
"ATP6_SYNP6",0,0
"ATP6_SYNY3",0,0
"ATP6_THEP3",0,0
"ATP6_VIBAL",0,0
"ATP9_BETVU",0,0
"ATP9_HELAN",0,0
"ATP9_MAIZE",0,0
"ATP9_MARPO",0,0
"ATP9_OENBI",0,0
"ATP9_ORYSA",0,0
"ATP9_PARTE",0,0
"ATP9_PEA",0,0
"ATP9_SCHPO",0,0
"ATP9_TOBAC",0,0
"ATP9_WHEAT",0,0
"ATP9_YEAST",0,0
"ATPF_ANASP",0,0
"ATPF_BACFI",0,0
"ATPF_BACME",0,0
"ATPF_BOVIN",0,0
"ATPF_ECOLI",0,0
"ATPF_ENTFA",0,0
"ATPF_EUGGR",0,0
"ATPF_HUMAN",1,0
"ATPF_MARPO",0,0
"ATPF_ODOSI",0,0
"ATPF_ORYSA",0,0
"ATPF_PEA",0,0
"ATPF_PROMO",0,0
"ATPF_RAT",1,0
"ATPF_RHORU",1,0
"ATPF_SPIOL",0,0
"ATPF_SYNP6",0,0
"ATPF_SYNY3",0,0
"ATPF_THEP3",1,0
"ATPF_TOBAC",0,0
"ATPF_VIBAL",0,0
"ATPF_WHEAT",0,0
"ATPH_EUGGR",0,0
"ATPH_MARPO",0,0
"ATPH_ODOSI",0,0
"ATPH_PAVLU",0,0
"ATPH_PEA",0,0
"ATPH_SOYBN",0,0
"ATPH_SPIOL",0,0
"ATPH_TOBAC",0,0
"ATPI_EUGGR",1,1
"ATPI_MAIZE",1,1
"ATPI_MARPO",1,1
"ATPI_ODOSI",1,1
"ATPI_ORYSA",1,1
"ATPI_PAVLU",0,0
"ATPI_PEA",1,1
"ATPI_SPIOL",1,1
"ATPI_TOBAC",1,1
"ATPL_ANASP",0,0
"ATPL_BACAO",0,0
"ATPL_BACFI",0,0
"ATPL_BACME",0,0
"ATPL_BOVIN",1,0
"ATPL_ECOLI",0,0
"ATPL_EMENI",1,0
"ATPL_ENTFA",0,0
"ATPL_HUMAN",1,0
"ATPL_NEUCR",1,0
"ATPL_PROMO",0,0
"ATPL_RHORU",0,0
"ATPL_SHEEP",0,0
"ATPL_SULAC",0,0
"ATPL_SYNP6",0,0
"ATPL_SYNY3",0,0
"ATPL_THEP3",0,0
"ATPL_VIBAL",0,0
"ATPM_BOVIN",1,0
"ATPX_ANASP",0,0
"ATPX_ODOSI",0,0
"ATPX_RHORU",0,0
"ATPX_SYNP6",0,0
"ATPX_SYNY3",0,0
"ATPY_YEAST",0,0
"ATPZ_ANASP",0,0
"ATPZ_BACFI",0,0
"ATPZ_BACME",0,0
"ATPZ_ECOLI",0,0
"ATPZ_PROMO",0,0
"ATPZ_PSEPU",0,0
"ATPZ_RHORU",0,0
"ATPZ_SYNP6",0,0
"ATPZ_THEP3",0,0
"ATPZ_VIBAL",0,0
"ATR1_YEAST",0,0
"ATX_SYNP6",0,0
"ATXA_LEIDO",0,0
"ATXB_LEIDO",0,0
"AVR2_HUMAN",1,1
"AVR2_MOUSE",1,1
"AVR2_XENLA",1,1
"AVRB_MOUSE",1,1
"AVRB_XENLA",1,1
"B1AR_HUMAN",0,0
"B1AR_MELGA",0,0
"B1AR_RAT",0,0
"B29_MOUSE",1,1
"B2AR_HUMAN",0,0
"B2AR_MESAU",0,0
"B2AR_MOUSE",0,0
"B2AR_RAT",0,0
"B3A3_MOUSE",0,0
"B3A3_RAT",0,0
"B3AR_HUMAN",0,0
"B3AR_MOUSE",0,0
"B3AR_RAT",0,0
"B3AT_CHICK",0,0
"B3AT_HUMAN",0,0
"B3AT_MOUSE",0,0
"B3AT_RAT",0,0
"B3LP_HUMAN",0,0
"B3LP_MOUSE",0,0
"B3LP_RAT",0,0
"BAC1_HALS1",1,0
"BAC2_HALS2",1,0
"BACH_HALSP",1,0
"BACH_NATPH",0,0
"BACR_HALHA",1,0
"BACS_HALHA",0,0
"BAG_STRAG",1,1
"BAN7_HUMAN",0,0
"BARA_ECOLI",0,0
"BASI_MOUSE",1,1
"BASI_RAT",1,1
"BCSA_ACEXY",0,0
"BCSB_ACEXY",1,1
"BETT_ECOLI",0,0
"BEX1_HAEIN",0,0
"BEX2_HAEIN",0,0
"BEX3_HAEIN",0,0
"BGAT_HUMAN",0,0
"BGP1_HUMAN",1,1
"BIB_DROME",0,0
"BIME_EMENI",0,0
"BIND_ARBPU",1,1
"BIOY_BACSH",1,1
"BLAR_BACLI",0,0
"BLAR_STAAU",0,0
"BOS1_YEAST",0,0
"BOSS_DROME",1,1
"BPI_BOVIN",1,1
"BPI_HUMAN",1,1
"BRAB_PSEAE",0,0
"BRAD_PSEAE",0,0
"BRAE_PSEAE",0,0
"BRAZ_PSEAE",0,0
"BRB2_HUMAN",0,0
"BRB2_RAT",0,0
"BRNQ_SALTY",0,0
"BROW_DROME",0,0
"BT1_MAIZE",1,0
"BUTY_BOVIN",1,1
"BVGC_BORPE",0,0
"BXA_CLOBO",2,0
"BXC1_CLOBO",2,0
"BXD_CLOBO",2,0
"C114_MOUSE",1,1
"C550_BACSU",0,0
"C552_BACAZ",0,0
"C555_BACAZ",0,0
"C561_BOVIN",0,0
"C562_RHOSH",0,
"C5AR_HUMAN",0,0
"CAB4_ARATH",1,0
"CADA_BACFI",0,0
"CADA_STAAU",0,0
"CADB_ECOLI",0,0
"CADC_ECOLI",0,0
"CADE_CHICK",1,1
"CADE_HUMAN",0,0
"CADE_MOUSE",1,1
"CADN_BOVIN",1,0
"CADN_CHICK",1,1
"CADN_HUMAN",1,1
"CADN_MOUSE",1,1
"CADN_XENLA",1,1
"CADP_BOVIN",1,0
"CADP_HUMAN",1,1
"CADP_MOUSE",1,1
"CADR_CHICK",1,1
"CAGS_HUMAN",0,0
"CAGS_RAT",0,0
"CAHH_VACCC",0,0
"CAHH_VACCV",0,0
"CALR_PIG",1,1
"CALX_ARATH",1,1
"CALX_CANFA",1,1
"CALX_HUMAN",1,1
"CALX_YEAST",1,1
"CAML_MOUSE",1,1
"CAN1_YEAST",0,0
"CANR_HUMAN",0,0
"CANR_RAT",0,0
"CAPA_BACAN",0,0
"CAPB_BACAN",0,0
"CAR1_DICDI",0,0
"CB11_LYCES",1,0
"CB12_LYCES",1,0
"CB12_PETHY",1,0
"CB2_CHLMO",1,0
"CB2_CHLRE",1,0
"CB2_DUNSA",1,0
"CB2_DUNTE",1,0
"CB2_GOSHI",1,0
"CB2_MALDO",1,0
"CB2_PHYPA",1,0
"CB21_ARATH",1,0
"CB21_CUCSA",1,0
"CB21_EUGGR",0,0
"CB21_LEMGI",1,0
"CB21_MAIZE",1,0
"CB21_ORYSA",1,0
"CB21_PEA",0,0
"CB21_PETSP",1,0
"CB21_PINTH",1,0
"CB21_RAPSA",0,0
"CB21_SILPR",1,0
"CB21_SINAL",1,0
"CB21_SOYBN",1,0
"CB21_SPIOL",1,0
"CB21_TOBAC",1,0
"CB21_WHEAT",1,0
"CB22_ARATH",1,0
"CB22_CUCSA",0,0
"CB22_HORVU",1,0
"CB22_MAIZE",1,0
"CB22_ORYSA",1,0
"CB22_PEA",1,0
"CB22_PETSP",1,0
"CB22_PINSY",0,0
"CB22_SOYBN",1,0
"CB22_TOBAC",1,0
"CB23_HORVU",1,0
"CB23_LYCES",1,0
"CB23_NICPL",1,0
"CB23_ORYSA",1,0
"CB23_PEA",1,0
"CB23_PETSP",1,0
"CB23_POLMU",1,0
"CB23_SOYBN",1,0
"CB23_TOBAC",1,0
"CB24_LYCES",1,0
"CB24_PETSP",1,0
"CB24_TOBAC",1,0
"CB25_LYCES",1,0
"CB25_NICPL",1,0
"CB25_PETSP",1,0
"CB25_TOBAC",1,0
"CB26_PETSP",1,0
"CB27_TOBAC",1,0
"CB28_LYCES",1,0
"CB28_PEA",1,0
"CB29_MAIZE",1,0
"CB2A_LYCES",1,0
"CB2A_PINSY",1,0
"CB2A_PYRPY",1,0
"CB2B_LYCES",1,0
"CB2C_LYCES",1,0
"CB2D_LYCES",0,0
"CB2E_LYCES",1,0
"CB2F_LYCES",1,0
"CB2G_LYCES",1,0
"CB4A_LYCES",1,0
"CB4B_LYCES",1,0
"CBEP_COXBU",0,0
"CBP3_YEAST",1,0
"CBR_DUNBA",1,0
"CC25_YEAST",0,0
"CCKR_RAT",0,
"CD19_CAVPO",0,0
"CD19_HUMAN",1,1
"CD19_MOUSE",1,1
"CD1A_HUMAN",1,1
"CD1B_HUMAN",1,1
"CD1C_HUMAN",1,1
"CD1D_HUMAN",1,1
"CD1E_HUMAN",1,1
"CD2_HUMAN",1,1
"CD2_MOUSE",1,1
"CD2_RAT",1,1
"CD20_HUMAN",0,0
"CD20_MOUSE",0,0
"CD22_HUMAN",1,1
"CD27_HUMAN",1,1
"CD28_HUMAN",1,1
"CD2R_HUMAN",0,0
"CD30_HUMAN",1,1
"CD33_HUMAN",1,1
"CD34_HUMAN",1,1
"CD36_HUMAN",0,0
"CD37_HUMAN",0,0
"CD38_HUMAN",0,0
"CD3D_HUMAN",1,1
"CD3D_MOUSE",1,1
"CD3D_RAT",1,1
"CD3D_SHEEP",1,1
"CD3E_CANFA",1,1
"CD3E_HUMAN",1,1
"CD3E_MOUSE",1,1
"CD3E_SHEEP",1,1
"CD3G_HUMAN",1,1
"CD3G_MOUSE",1,1
"CD3G_SHEEP",0,0
"CD3H_MOUSE",1,1
"CD3Z_HUMAN",1,1
"CD3Z_MOUSE",1,1
"CD3Z_SHEEP",1,1
"CD4_HUMAN",1,1
"CD4_MACMU",1,1
"CD4_MOUSE",1,1
"CD4_PANTR",1,1
"CD4_RAT",1,1
"CD40_HUMAN",1,1
"CD40_MOUSE",1,1
"CD44_CRISP",1,1
"CD44_MOUSE",1,1
"CD44_PAPHA",1,1
"CD44_RAT",1,1
"CD45_HUMAN",1,1
"CD45_MOUSE",1,1
"CD45_RAT",1,1
"CD4H_HUMAN",1,1
"CD4L_HUMAN",0,0
"CD4L_MOUSE",0,0
"CD4X_HUMAN",1,1
"CD5_BOVIN",1,1
"CD5_HUMAN",1,1
"CD5_MOUSE",1,1
"CD53_HUMAN",0,0
"CD53_RAT",0,0
"CD63_HUMAN",0,0
"CD7_HUMAN",1,1
"CD72_HUMAN",0,0
"CD72_MOUSE",0,0
"CD81_HUMAN",1,1
"CD82_HUMAN",1,1
"CD8A_HUMAN",1,1
"CD8A_MOUSE",1,1
"CD8A_PONPY",1,1
"CD8A_RAT",1,1
"CD8B_MOUSE",1,1
"CD8B_PONPY",1,1
"CD8B_RAT",1,1
"CD9_CERAE",0,0
"CD9_HUMAN",0,0
"CEA_CITFR",0,0
"CEA1_ECOLI",0,0
"CEA1_SHISO",0,0
"CEAB_ECOLI",0,0
"CEAN_ECOLI",0,0
"CEIA_ECOLI",0,0
"CEIB_ECOLI",0,0
"CEK2_CHICK",1,1
"CEK3_CHICK",1,1
"CELF_HSV11",1,1
"CELF_HSV1K",1,1
"CELF_HSV2H",1,1
"CELF_HSVEB",1,1
"CELF_VZVD",1,1
"CFTR_HUMAN",0,0
"CFTR_MOUSE",0,0
"CFTR_SQUAC",0,0
"CFTR_XENLA",0,0
"CGCC_BOVIN",0,0
"CGCC_HUMAN",0,0
"CHM1_BOVIN",2,0
"CHS1_AJECA",0,0
"CHS1_AJEDE",0,0
"CHS1_ASPNG",0,0
"CHS1_CANAL",0,0
"CHS1_EMENI",0,0
"CHS1_EXOJE",0,0
"CHS1_NEUCR",0,0
"CHS1_PHAEX",0,0
"CHS1_RHIAT",0,0
"CHS1_RHIOL",0,0
"CHS1_SCHCO",0,0
"CHS1_SCHPO",0,0
"CHS1_USTMA",0,0
"CHS1_WANDE",0,0
"CHS1_XYLBA",0,0
"CHS1_YEAST",0,0
"CHS2_AJECA",0,0
"CHS2_AJEDE",0,0
"CHS2_ASPNG",0,0
"CHS2_CANAL",0,0
"CHS2_EMENI",0,0
"CHS2_EXOJE",0,0
"CHS2_NEUCR",0,0
"CHS2_PHAEX",0,0
"CHS2_RHIAT",0,0
"CHS2_RHIOL",0,0
"CHS2_USTMA",0,0
"CHS2_WANDE",0,0
"CHS2_XYLBA",0,0
"CHS2_YEAST",0,0
"CHS3_AJECA",0,0
"CHS3_CANAL",0,0
"CHS3_EXOJE",0,0
"CHS3_NEUCR",0,0
"CHS3_WANDE",0,0
"CHS3_YEAST",0,0
"CIC1_CYPCA",0,0
"CIC1_RABIT",0,0
"CIC2_RABIT",1,1
"CICC_RABIT",0,0
"CICC_RAT",0,0
"CICG_RABIT",0,0
"CICH_TORMA",0,0
"CIK0_HUMAN",0,0
"CIK0_MOUSE",0,0
"CIK0_RAT",0,0
"CIK1_DROME",0,0
"CIK1_MOUSE",0,0
"CIK1_RAT",0,0
"CIK2_DROME",0,0
"CIK2_RAT",0,0
"CIK2_XENLA",0,0
"CIK3_DROME",0,0
"CIK3_HUMAN",0,0
"CIK3_MOUSE",0,0
"CIK3_RAT",0,0
"CIK4_DROME",0,0
"CIK4_HUMAN",0,0
"CIK4_RAT",0,0
"CIK5_HUMAN",0,0
"CIK5_RAT",0,0
"CIK6_HUMAN",0,0
"CIK6_RAT",0,0
"CIKA_RAT",0,0
"CIKB_DROME",0,0
"CIKD_MOUSE",0,0
"CIKD_RAT",0,0
"CIKE_RAT",0,0
"CIKF_RAT",0,0
"CIKG_RAT",0,0
"CIKL_DROME",0,0
"CIKW_DROME",0,0
"CIN1_RAT",0,0
"CIN2_RAT",0,0
"CIN3_RAT",0,0
"CINA_ELEEL",0,0
"CINC_RAT",0,0
"CINS_RAT",0,0
"CIT_KLEPN",0,0
"CIT_LACLA",0,0
"CIT1_ECOLI",0,0
"CIT2_ECOLI",0,0
"CITA_SALTY",0,0
"CNCG_MOUSE",0,0
"CNGC_RAT",0,0
"CO02_HUMAN",0,0
"CO9_HUMAN",2,1
"CO9_MOUSE",0,0
"CO9_ONCMY",0,0
"CODB_ECOLI",0,0
"COMT_HUMAN",2,0
"COMT_RAT",2,0
"COP_CLOPE",0,0
"CORA_ECOLI",0,0
"COX1_AMICA",0,0
"COX1_APIME",0,0
"COX1_ASCSU",0,0
"COX1_ATRSP",0,0
"COX1_BALPH",0,0
"COX1_BETVU",0,0
"COX1_BOVIN",0,0
"COX1_CAEEL",0,0
"COX1_CHICK",0,0
"COX1_CHLRE",0,0
"COX1_COTJA",0,0
"COX1_CYPCA",0,0
"COX1_DROME",0,0
"COX1_DROYA",0,0
"COX1_EMENI",0,0
"COX1_GEOSD",0,0
"COX1_GOMVA",0,0
"COX1_HUMAN",0,0
"COX1_KLULA",0,0
"COX1_LEITA",0,0
"COX1_LEPOC",0,0
"COX1_MAIZE",0,0
"COX1_MARPO",0,0
"COX1_MEGAT",0,0
"COX1_MOUSE",0,0
"COX1_NEUCR",0,0
"COX1_OENBE",0,0
"COX1_ORYSA",0,0
"COX1_PANBU",0,0
"COX1_PARDE",0,0
"COX1_PARLI",0,0
"COX1_PARTE",0,0
"COX1_PEA",0,0
"COX1_PHOVI",0,0
"COX1_PISOC",0,0
"COX1_PODAN",0,0
"COX1_POLSP",0,0
"COX1_POLSX",0,0
"COX1_POMNI",0,0
"COX1_RAT",0,0
"COX1_SALTR",0,0
"COX1_SCAPL",0,0
"COX1_SCHPO",0,0
