"ID","PAM80-Family","PAM200-Family","PAM200-reduced"
"1C04_HUMAN",3,3,3
"1C05_HUMAN",3,3,3
"1C06_HUMAN",3,3,3
"1C07_HUMAN",3,3,3
"1C12_HUMAN",3,3,3
"1C13_HUMAN",3,3,3
"1C14_HUMAN",3,3,3
"1C15_HUMAN",3,3,3
"1C16_HUMAN",3,3,3
"1C17_HUMAN",3,3,3
"1C28_PANTR",3,3,3
"1CXX_HUMAN",3,3,3
"1OKO_GORGO",3,3,3
"3BH1_HUMAN",4,4,4
"3BH1_MOUSE",4,4,4
"3BH1_RAT",4,4,4
"3BH2_HUMAN",4,4,4
"3BH2_MOUSE",4,4,4
"3BH2_RAT",4,4,4
"3BH3_MOUSE",4,4,4
"3BH3_RAT",4,4,4
"3BHS_BOVIN",4,4,4
"3BHS_MACMU",4,4,4
"4F2_HUMAN",5,5,5
"4F2_MOUSE",5,5,5
"5HT1_DROME",6,6,6
"5HT2_CRIGR",7,6,6
"5HT2_HUMAN",7,6,6
"5HT2_RAT",7,6,6
"5HT3_MOUSE",8,7,7
"5HTA_DROME",9,6,6
"5HTA_HUMAN",10,6,6
"5HTA_RAT",10,6,6
"5HTB_DROME",9,6,6
"5HTB_MOUSE",11,6,6
"5HTB_RAT",11,6,6
"5HTC_HUMAN",7,6,6
"5HTC_RAT",7,6,6
"5HTD_CANFA",11,6,6
"5HTD_HUMAN",11,6,6
"5HTD_RAT",11,6,6
"5HTE_HUMAN",11,6,6
"5HTE_MOUSE",11,6,6
"5HTX_HUMAN",11,6,6
"7LES_DROME",12,8,8
"7LES_DROVI",12,8,8
"A1AA_HUMAN",13,6,6
"A1AA_RAT",13,6,6
"A1AB_CANFA",13,6,6
"A1AB_MESAU",13,6,6
"A1AB_RAT",13,6,6
"A1AC_BOVIN",13,6,6
"A2AA_HUMAN",14,6,6
"A2AA_MOUSE",14,6,6
"A2AA_PIG",14,6,6
"A2AA_RAT",14,6,6
"A2AB_HUMAN",14,6,6
"A2AB_MOUSE",14,6,6
"A2AB_RAT",14,6,6
"A2AC_HUMAN",14,6,6
"A2AC_MOUSE",14,6,6
"A2AC_RAT",14,6,6
"A4_DROME",15,9,9
"A4_HUMAN",16,9,9
"A4_MOUSE",16,9,9
"A4_RAT",16,9,9
"A5_XENLA",17,10,10
"AA1R_BOVIN",18,6,6
"AA1R_CANFA",18,6,6
"AA1R_HUMAN",18,6,6
"AA1R_RAT",18,6,6
"AA2A_CANFA",18,6,6
"AA2A_HUMAN",18,6,6
"AA2A_RAT",18,6,6
"AA2B_HUMAN",18,6,6
"AA2B_RAT",18,6,6
"AA64_HUMAN",19,11,11
"ACE_HUMAN",20,12,12
"ACE_MOUSE",20,12,12
"ACE_RABIT",20,12,12
"ACET_HUMAN",20,12,12
"ACET_MOUSE",20,12,12
"ACET_RABIT",20,12,12
"ACH1_DROME",21,7,7
"ACH1_SCHGR",21,7,7
"ACH1_XENLA",21,7,7
"ACH2_CHICK",21,7,7
"ACH2_DROME",21,7,7
"ACH2_RAT",21,7,7
"ACH2_XENLA",21,7,7
"ACH3_CARAU",21,7,7
"ACH3_CHICK",21,7,7
"ACH3_DROME",21,7,7
"ACH3_RAT",21,7,7
"ACH4_CHICK",21,7,7
"ACH4_DROME",21,7,7
"ACH4_RAT",21,7,7
"ACH5_CHICK",21,7,7
"ACH5_HUMAN",21,7,7
"ACH5_RAT",21,7,7
"ACH7_CHICK",22,7,7
"ACHA_BOVIN",21,7,7
"ACHA_CHICK",21,7,7
"ACHA_ELEEL",23,13,13
"ACHA_HUMAN",21,7,7
"ACHA_MOUSE",21,7,7
"ACHA_RAT",21,7,7
"ACHA_TORCA",21,7,7
"ACHA_TORMA",21,7,7
"ACHB_BOVIN",21,7,7
"ACHB_CHICK",21,7,7
"ACHB_ELEEL",24,14,14
"ACHB_HUMAN",21,7,7
"ACHB_MOUSE",21,7,7
"ACHB_RAT",21,7,7
"ACHB_TORCA",21,7,7
"ACHD_BOVIN",21,7,7
"ACHD_CHICK",21,7,7
"ACHD_ELEEL",21,7,7
"ACHD_MOUSE",21,7,7
"ACHD_RAT",21,7,7
"ACHD_TORCA",21,7,7
"ACHD_XENLA",21,7,7
"ACHE_BOVIN",21,7,7
"ACHE_MOUSE",21,7,7
"ACHE_RAT",21,7,7
"ACHG_BOVIN",21,7,7
"ACHG_CHICK",21,7,7
"ACHG_ELEEL",25,15,15
"ACHG_HUMAN",21,7,7
"ACHG_MOUSE",21,7,7
"ACHG_RAT",21,7,7
"ACHG_TORCA",21,7,7
"ACHG_XENLA",21,7,7
"ACHN_CARAU",21,7,7
"ACHN_CHICK",21,7,7
"ACHN_HUMAN",21,7,7
"ACHN_RAT",21,7,7
"ACHO_CARAU",21,7,7
"ACHO_RAT",21,7,7
"ACHP_CARAU",21,7,7
"ACHP_CHICK",21,7,7
"ACHP_RAT",21,7,7
"ACM1_DROME",26,6,6
"ACM1_HUMAN",26,6,6
"ACM1_MOUSE",26,6,6
"ACM1_PIG",26,6,6
"ACM1_RAT",26,6,6
"ACM2_CHICK",26,6,6
"ACM2_HUMAN",26,6,6
"ACM2_PIG",26,6,6
"ACM2_RAT",26,6,6
"ACM3_HUMAN",26,6,6
"ACM3_PIG",26,6,6
"ACM3_RAT",26,6,6
"ACM4_CHICK",26,6,6
"ACM4_HUMAN",26,6,6
"ACM4_RAT",26,6,6
"ACM4_XENLA",26,6,6
"ACM5_HUMAN",26,6,6
"ACM5_RAT",26,6,6
"ACO1_YEAST",27,16,16
"AD1_RAT",28,17,17
"ADP1_YEAST",29,18,18
"ADT_CHLRE",30,19,19
"ADT_NEUCR",30,19,19
"ADT_RICPR",31,20,20
"ADT1_BOVIN",30,19,19
"ADT1_HUMAN",30,19,19
"ADT1_MAIZE",30,19,19
"ADT1_SOLTU",30,19,19
"ADT1_YEAST",30,19,19
"ADT2_HUMAN",30,19,19
"ADT2_MAIZE",30,19,19
"ADT2_SOLTU",30,19,19
"ADT2_YEAST",30,19,19
"ADT3_HUMAN",30,19,19
"ADT3_YEAST",30,19,19
"AG2R_BOVIN",32,6,6
"AG2R_HUMAN",32,6,6
"AG2R_MOUSE",32,6,6
"AG2R_PIG",32,6,6
"AG2R_RAT",32,6,6
"AG2S_MOUSE",32,6,6
"AG2S_RAT",32,6,6
"AIL_YEREN",33,21,21
"ALG1_YEAST",34,22,22
"ALKB_PSEOL",35,23,23
"AMA1_PLACH",36,24,24
"AMA1_PLAFA",36,24,24
"AMA1_PLAFR",36,24,24
"AMD_BOVIN",37,25,25
"AMD_HUMAN",37,25,25
"AMD_RAT",37,25,25
"AMD2_XENLA",37,25,25
"AMFR_HUMAN",38,26,26
"AMIC_STRPN",39,27,27
"AMID_STRPN",40,28,28
"AMPE_ECOLI",41,29,29
"AMPE_MOUSE",42,30,30
"AMPN_HUMAN",43,30,30
"AMPN_PIG",43,30,30
"AMPN_RABIT",43,30,30
"AMPN_RAT",43,30,30
"AMPR_HUMAN",44,31,31
"ANPA_HUMAN",45,8,32
"ANPA_MOUSE",45,8,32
"ANPA_RAT",45,8,32
"ANPB_HUMAN",45,8,32
"ANPB_RAT",45,8,32
"ANPC_BOVIN",46,8,32
"ANPC_HUMAN",46,8,32
"AOAH_HUMAN",47,32,33
"AOX1_SAUGU",48,33,34
"APPB_ECOLI",49,34,35
"APPC_ECOLI",50,35,36
"ARAE_ECOLI",51,36,37
"ARCB_ECOLI",52,37,38
"ARCD_PSEAE",53,38,39
"AROP_ECOLI",54,39,40
"ARP4_STRPY",55,8,41
"ARSB_ECOLI",56,40,42
"ARSB_STAAU",56,40,42
"ARSB_STAXY",56,40,42
"ASA1_ENTFA",57,8,41
"ATC1_YEAST",58,41,43
"ATC2_YEAST",59,41,43
"ATC3_SCHPO",59,41,43
"ATCA_RABIT",60,41,43
"ATCB_CHICK",60,41,43
"ATCB_DROME",60,41,43
"ATCB_RABIT",60,41,43
"ATCD_FELCA",60,41,43
"ATCD_HUMAN",60,41,43
"ATCD_PIG",60,41,43
"ATCD_RABIT",60,41,43
"ATCD_RAT",60,41,43
"ATCE_HUMAN",60,41,43
"ATCE_PIG",60,41,43
"ATCE_RABIT",60,41,43
"ATCE_RAT",60,41,43
"ATCF_RAT",60,41,43
"ATCP_RAT",61,41,43
"ATCQ_HUMAN",61,41,43
"ATCQ_PIG",61,41,43
"ATCQ_RABIT",61,41,43
"ATCQ_RAT",61,41,43
"ATCR_HUMAN",61,41,43
"ATH1_ARATH",62,41,43
"ATH1_CANAL",63,41,43
"ATH1_LYCES",62,41,43
"ATH1_SCHPO",63,41,43
"ATH1_YEAST",63,41,43
"ATH2_ARATH",62,41,43
"ATH2_LYCES",62,41,43
"ATH2_SCHPO",63,41,43
"ATH2_YEAST",63,41,43
"ATH3_ARATH",62,41,43
"ATHA_HUMAN",64,41,43
"ATHA_PIG",64,41,43
"ATHA_RABIT",64,41,43
"ATHA_RAT",64,41,43
"ATHB_PIG",65,42,44
"ATHB_RABIT",65,42,44
"ATHB_RAT",65,42,44
"ATHP_NEUCR",63,41,43
"ATHP_ZYGRO",63,41,43
"ATK_ENTFA",67,41,43
"ATKB_ECOLI",66,41,43
"ATMB_SALTY",68,41,43
"ATMC_SALTY",69,43,45
"ATN1_BUFMA",64,41,43
"ATN1_CHICK",64,41,43
"ATN1_HORSE",64,41,43
"ATN1_HUMAN",64,41,43
"ATN1_PIG",64,41,43
"ATN1_RAT",64,41,43
"ATN1_SHEEP",64,41,43
"ATN2_CHICK",64,41,43
"ATN2_RAT",64,41,43
"ATN3_CHICK",64,41,43
"ATN3_HUMAN",64,41,43
"ATN3_PIG",64,41,43
"ATN3_RAT",64,41,43
"ATNA_ARTSA",64,41,43
"ATNA_ARTSF",64,41,43
"ATNA_CATCO",64,41,43
"ATNA_DROME",64,41,43
"ATNA_TORCA",64,41,43
"ATNB_ARTSA",70,42,44
"ATNB_BUFMA",71,42,44
"ATNB_CANFA",71,42,44
"ATNB_CHICK",71,42,44
"ATNB_HUMAN",71,42,44
"ATNB_MOUSE",71,42,44
"ATNB_PIG",71,42,44
"ATNB_RAT",71,42,44
"ATNB_SHEEP",71,42,44
"ATNB_TORCA",71,42,44
"ATNC_BUFMA",72,42,44
"ATNC_HUMAN",72,42,44
"ATNC_MOUSE",72,42,44
"ATNC_RAT",72,42,44
"ATNC_XENLA",72,42,44
"ATP6_ANASP",73,44,46
"ATP6_BACAO",74,44,46
"ATP6_BACFI",74,44,46
"ATP6_BACME",74,44,46
"ATP6_ECOLI",75,44,46
"ATP6_PROMO",76,44,46
"ATP6_PSEPU",75,44,46
"ATP6_RHORU",77,44,46
"ATP6_SYNP6",73,44,46
"ATP6_SYNY3",73,44,46
"ATP6_THEP3",74,44,46
"ATP6_VIBAL",75,44,46
"ATP9_BETVU",78,45,47
"ATP9_HELAN",78,45,47
"ATP9_MAIZE",78,45,47
"ATP9_MARPO",78,45,47
"ATP9_OENBI",78,45,47
"ATP9_ORYSA",78,45,47
"ATP9_PARTE",79,46,48
"ATP9_PEA",78,45,47
"ATP9_SCHPO",78,45,47
"ATP9_TOBAC",78,45,47
"ATP9_WHEAT",78,45,47
"ATP9_YEAST",78,45,47
"ATPF_ANASP",80,47,49
"ATPF_BACFI",81,47,49
"ATPF_BACME",81,47,49
"ATPF_BOVIN",82,48,50
"ATPF_ECOLI",83,47,49
"ATPF_ENTFA",84,47,49
"ATPF_EUGGR",85,47,49
"ATPF_HUMAN",82,48,50
"ATPF_MARPO",86,47,49
"ATPF_ODOSI",87,47,49
"ATPF_ORYSA",86,47,49
"ATPF_PEA",86,47,49
"ATPF_PROMO",88,47,49
"ATPF_RAT",82,48,50
"ATPF_RHORU",89,49,51
"ATPF_SPIOL",86,47,49
"ATPF_SYNP6",80,47,49
"ATPF_SYNY3",90,47,49
"ATPF_THEP3",81,47,49
"ATPF_TOBAC",86,47,49
"ATPF_VIBAL",83,47,49
"ATPF_WHEAT",86,47,49
"ATPH_EUGGR",91,50,52
"ATPH_MARPO",91,50,52
"ATPH_ODOSI",91,50,52
"ATPH_PAVLU",91,50,52
"ATPH_PEA",91,50,52
"ATPH_SOYBN",91,50,52
"ATPH_SPIOL",91,50,52
"ATPH_TOBAC",91,50,52
"ATPI_EUGGR",73,44,46
"ATPI_MAIZE",73,44,46
"ATPI_MARPO",73,44,46
"ATPI_ODOSI",73,44,46
"ATPI_ORYSA",73,44,46
"ATPI_PAVLU",92,51,53
"ATPI_PEA",73,44,46
"ATPI_SPIOL",73,44,46
"ATPI_TOBAC",73,44,46
"ATPL_ANASP",91,50,52
"ATPL_BACAO",93,50,52
"ATPL_BACFI",93,50,52
"ATPL_BACME",93,50,52
"ATPL_BOVIN",78,45,47
"ATPL_ECOLI",94,50,52
"ATPL_EMENI",78,45,47
"ATPL_ENTFA",93,50,52
"ATPL_HUMAN",78,45,47
"ATPL_NEUCR",78,45,47
"ATPL_PROMO",91,50,52
"ATPL_RHORU",78,45,47
"ATPL_SHEEP",78,45,47
"ATPL_SULAC",95,52,54
"ATPL_SYNP6",91,50,52
"ATPL_SYNY3",91,50,52
"ATPL_THEP3",93,50,52
"ATPL_VIBAL",94,50,52
"ATPM_BOVIN",78,45,47
"ATPX_ANASP",96,47,49
"ATPX_ODOSI",97,47,49
"ATPX_RHORU",98,53,55
"ATPX_SYNP6",96,47,49
"ATPX_SYNY3",96,47,49
"ATPY_YEAST",99,54,56
"ATPZ_ANASP",100,55,57
"ATPZ_BACFI",101,56,58
"ATPZ_BACME",102,57,59
"ATPZ_ECOLI",103,58,60
"ATPZ_PROMO",104,59,61
"ATPZ_PSEPU",105,60,62
"ATPZ_RHORU",106,61,63
"ATPZ_SYNP6",100,55,57
"ATPZ_THEP3",102,57,59
"ATPZ_VIBAL",107,58,60
"ATR1_YEAST",108,62,64
"ATX_SYNP6",110,41,43
"ATXA_LEIDO",109,41,43
"ATXB_LEIDO",109,41,43
"AVR2_HUMAN",111,8,65
"AVR2_MOUSE",111,8,65
"AVR2_XENLA",111,8,65
"AVRB_MOUSE",111,8,65
"AVRB_XENLA",111,8,65
"B1AR_HUMAN",112,6,6
"B1AR_MELGA",112,6,6
"B1AR_RAT",112,6,6
"B29_MOUSE",113,63,66
"B2AR_HUMAN",112,6,6
"B2AR_MESAU",112,6,6
"B2AR_MOUSE",112,6,6
"B2AR_RAT",112,6,6
"B3A3_MOUSE",114,64,67
"B3A3_RAT",114,64,67
"B3AR_HUMAN",112,6,6
"B3AR_MOUSE",112,6,6
"B3AR_RAT",112,6,6
"B3AT_CHICK",114,64,67
"B3AT_HUMAN",114,64,67
"B3AT_MOUSE",114,64,67
"B3AT_RAT",114,64,67
"B3LP_HUMAN",114,64,67
"B3LP_MOUSE",114,64,67
"B3LP_RAT",114,64,67
"BAC1_HALS1",115,65,68
"BAC2_HALS2",115,65,68
"BACH_HALSP",116,65,68
"BACH_NATPH",116,65,68
"BACR_HALHA",115,65,68
"BACS_HALHA",117,65,68
"BAG_STRAG",118,66,69
"BAN7_HUMAN",119,67,70
"BARA_ECOLI",120,37,38
"BASI_MOUSE",121,68,71
"BASI_RAT",121,68,71
"BCSA_ACEXY",122,69,72
"BCSB_ACEXY",122,69,72
"BETT_ECOLI",123,70,73
"BEX1_HAEIN",124,71,74
"BEX2_HAEIN",124,71,74
"BEX3_HAEIN",124,71,74
"BGAT_HUMAN",125,72,75
"BGP1_HUMAN",126,8,76
"BIB_DROME",127,8,77
"BIME_EMENI",128,73,78
"BIND_ARBPU",129,74,79
"BIOY_BACSH",130,75,80
"BLAR_BACLI",131,76,81
"BLAR_STAAU",132,76,81
"BOS1_YEAST",133,77,82
"BOSS_DROME",134,78,83
"BPI_BOVIN",135,79,84
"BPI_HUMAN",135,79,84
"BRAB_PSEAE",136,80,85
"BRAD_PSEAE",137,81,86
"BRAE_PSEAE",138,81,86
"BRAZ_PSEAE",136,80,85
"BRB2_HUMAN",139,6,6
"BRB2_RAT",139,6,6
"BRNQ_SALTY",136,80,85
"BROW_DROME",140,18,18
"BT1_MAIZE",141,19,19
"BUTY_BOVIN",142,82,87
"BVGC_BORPE",143,37,38
"BXA_CLOBO",144,83,88
"BXC1_CLOBO",145,83,88
"BXD_CLOBO",145,83,88
"C114_MOUSE",146,8,89
"C550_BACSU",147,84,90
"C552_BACAZ",148,85,91
"C555_BACAZ",149,86,92
"C561_BOVIN",150,87,93
"C5AR_HUMAN",151,6,6
"CAB4_ARATH",152,88,94
"CADA_BACFI",153,41,43
"CADA_STAAU",153,41,43
"CADB_ECOLI",154,38,39
"CADC_ECOLI",155,89,95
"CADE_CHICK",156,90,96
"CADE_HUMAN",156,90,96
"CADE_MOUSE",156,90,96
"CADN_BOVIN",156,90,96
"CADN_CHICK",156,90,96
"CADN_HUMAN",156,90,96
"CADN_MOUSE",156,90,96
"CADN_XENLA",156,90,96
"CADP_BOVIN",156,90,97
"CADP_HUMAN",156,90,96
"CADP_MOUSE",156,90,96
"CADR_CHICK",156,90,96
"CAGS_HUMAN",157,91,98
"CAGS_RAT",157,91,98
"CAHH_VACCC",158,92,99
"CAHH_VACCV",158,92,99
"CALR_PIG",159,93,100
"CALX_ARATH",160,94,101
"CALX_CANFA",160,94,101
"CALX_HUMAN",160,94,101
"CALX_YEAST",161,94,101
"CAML_MOUSE",162,8,8
"CAN1_YEAST",163,39,40
"CANR_HUMAN",164,6,6
"CANR_RAT",164,6,6
"CAPA_BACAN",165,95,102
"CAPB_BACAN",166,96,103
"CAR1_DICDI",167,97,104
"CB11_LYCES",152,88,94
"CB12_LYCES",152,88,94
"CB12_PETHY",152,88,94
"CB2_CHLMO",152,88,94
"CB2_CHLRE",152,88,94
"CB2_DUNSA",152,88,94
"CB2_DUNTE",152,88,94
"CB2_GOSHI",152,88,94
"CB2_MALDO",152,88,94
"CB2_PHYPA",152,88,94
"CB21_ARATH",152,88,94
"CB21_CUCSA",152,88,94
"CB21_EUGGR",152,88,94
"CB21_LEMGI",152,88,94
"CB21_MAIZE",152,88,94
"CB21_ORYSA",152,88,94
"CB21_PEA",152,88,94
"CB21_PETSP",152,88,94
"CB21_PINTH",152,88,94
"CB21_RAPSA",152,88,94
"CB21_SILPR",152,88,94
"CB21_SINAL",152,88,94
"CB21_SOYBN",152,88,94
"CB21_SPIOL",152,88,94
"CB21_TOBAC",152,88,94
"CB21_WHEAT",152,88,94
"CB22_ARATH",152,88,94
"CB22_CUCSA",152,88,94
"CB22_HORVU",152,88,94
"CB22_MAIZE",152,88,94
"CB22_ORYSA",152,88,94
"CB22_PEA",152,88,94
"CB22_PETSP",152,88,94
"CB22_PINSY",152,88,94
"CB22_SOYBN",152,88,94
"CB22_TOBAC",152,88,94
"CB23_HORVU",152,88,94
"CB23_LYCES",152,88,94
"CB23_NICPL",152,88,94
"CB23_ORYSA",152,88,94
"CB23_PEA",152,88,94
"CB23_PETSP",152,88,94
"CB23_POLMU",152,88,94
"CB23_SOYBN",152,88,94
"CB23_TOBAC",152,88,94
"CB24_LYCES",152,88,94
"CB24_PETSP",152,88,94
"CB24_TOBAC",152,88,94
"CB25_LYCES",152,88,94
"CB25_NICPL",152,88,94
"CB25_PETSP",152,88,94
"CB25_TOBAC",152,88,94
"CB26_PETSP",152,88,94
"CB27_TOBAC",152,88,94
"CB28_LYCES",152,88,94
"CB28_PEA",152,88,94
"CB29_MAIZE",152,88,94
"CB2A_LYCES",152,88,94
"CB2A_PINSY",152,88,94
"CB2A_PYRPY",152,88,94
"CB2B_LYCES",152,88,94
"CB2C_LYCES",152,88,94
"CB2D_LYCES",152,88,94
"CB2E_LYCES",152,88,94
"CB2F_LYCES",152,88,94
"CB2G_LYCES",152,88,94
"CB4A_LYCES",168,88,94
"CB4B_LYCES",168,88,94
"CBEP_COXBU",169,98,105
"CBP3_YEAST",170,99,106
"CBR_DUNBA",171,100,107
"CC25_YEAST",172,101,108
"CD19_CAVPO",173,102,109
"CD19_HUMAN",173,102,109
"CD19_MOUSE",173,102,109
"CD1A_HUMAN",174,3,3
"CD1B_HUMAN",174,3,3
"CD1C_HUMAN",174,3,3
"CD1D_HUMAN",174,3,3
"CD1E_HUMAN",174,3,3
"CD2_HUMAN",179,106,114
"CD2_MOUSE",179,106,114
"CD2_RAT",179,106,114
"CD20_HUMAN",175,103,110
"CD20_MOUSE",175,103,110
"CD22_HUMAN",176,8,111
"CD27_HUMAN",177,104,112
"CD28_HUMAN",178,105,113
"CD2R_HUMAN",175,103,110
"CD30_HUMAN",180,104,115
"CD33_HUMAN",181,8,116
"CD34_HUMAN",182,107,117
"CD36_HUMAN",183,108,118
"CD37_HUMAN",184,17,17
"CD38_HUMAN",185,109,119
"CD3D_HUMAN",186,110,120
"CD3D_MOUSE",186,110,120
"CD3D_RAT",186,110,120
"CD3D_SHEEP",186,110,120
"CD3E_CANFA",187,111,121
"CD3E_HUMAN",187,111,121
"CD3E_MOUSE",187,111,121
"CD3E_SHEEP",187,111,121
"CD3G_HUMAN",186,110,120
"CD3G_MOUSE",186,110,120
"CD3G_SHEEP",186,110,120
"CD3H_MOUSE",188,112,122
"CD3Z_HUMAN",188,112,122
"CD3Z_MOUSE",188,112,122
"CD3Z_SHEEP",188,112,122
"CD4_HUMAN",193,115,128
"CD4_MACMU",193,115,128
"CD4_MOUSE",193,115,128
"CD4_PANTR",193,115,128
"CD4_RAT",193,115,128
"CD40_HUMAN",189,104,123
"CD40_MOUSE",189,104,123
"CD44_CRISP",190,113,124
"CD44_MOUSE",190,113,124
"CD44_PAPHA",190,113,124
"CD44_RAT",190,113,124
"CD45_HUMAN",191,8,125
"CD45_MOUSE",191,8,125
"CD45_RAT",191,8,125
"CD4H_HUMAN",190,113,124
"CD4L_HUMAN",192,114,126
"CD4L_MOUSE",192,114,126
"CD4X_HUMAN",190,113,127
"CD5_BOVIN",195,116,129
"CD5_HUMAN",195,116,129
"CD5_MOUSE",195,116,129
"CD53_HUMAN",194,17,17
"CD53_RAT",194,17,17
"CD63_HUMAN",28,17,17
"CD7_HUMAN",197,118,131
"CD72_HUMAN",196,117,130
"CD72_MOUSE",196,117,130
"CD81_HUMAN",198,119,132
"CD82_HUMAN",198,119,132
"CD8A_HUMAN",199,120,133
"CD8A_MOUSE",199,120,133
"CD8A_PONPY",199,120,133
"CD8A_RAT",199,120,133
"CD8B_MOUSE",198,119,132
"CD8B_PONPY",198,119,132
"CD8B_RAT",198,119,132
"CD9_CERAE",200,17,17
"CD9_HUMAN",200,17,17
"CEA_CITFR",202,121,134
"CEA1_ECOLI",201,121,134
"CEA1_SHISO",201,121,134
"CEAB_ECOLI",202,121,134
"CEAN_ECOLI",202,121,134
"CEIA_ECOLI",203,121,134
"CEIB_ECOLI",203,121,134
"CEK2_CHICK",204,8,8
"CEK3_CHICK",204,8,8
"CELF_HSV11",205,122,135
"CELF_HSV1K",205,122,135
"CELF_HSV2H",205,122,135
"CELF_HSVEB",206,122,135
"CELF_VZVD",207,122,135
"CFTR_HUMAN",208,18,18
"CFTR_MOUSE",208,18,18
"CFTR_SQUAC",208,18,18
"CFTR_XENLA",208,18,18
"CGCC_BOVIN",209,123,136
"CGCC_HUMAN",209,123,136
"CHM1_BOVIN",210,124,137
"CHS1_AJECA",211,125,138
"CHS1_AJEDE",211,125,138
"CHS1_ASPNG",211,125,138
"CHS1_CANAL",211,125,138
"CHS1_EMENI",211,125,138
"CHS1_EXOJE",211,125,138
"CHS1_NEUCR",211,125,138
"CHS1_PHAEX",211,125,138
"CHS1_RHIAT",211,125,138
"CHS1_RHIOL",211,125,138
"CHS1_SCHCO",211,125,138
"CHS1_SCHPO",211,125,138
"CHS1_USTMA",211,125,138
"CHS1_WANDE",211,125,138
"CHS1_XYLBA",211,125,138
"CHS1_YEAST",211,125,138
"CHS2_AJECA",211,125,138
"CHS2_AJEDE",211,125,138
"CHS2_ASPNG",211,125,138
"CHS2_CANAL",211,125,138
"CHS2_EMENI",211,125,138
"CHS2_EXOJE",211,125,138
"CHS2_NEUCR",211,125,138
"CHS2_PHAEX",211,125,138
"CHS2_RHIAT",211,125,138
