"ID","Organelle-type","Subtype"
"3BH1_RAT","er","er"
"3BH2_HUMAN","er","er"
"3BH2_MOUSE","er","er"
"3BH2_RAT","er","er"
"3BH3_MOUSE","er","er"
"3BH3_RAT","er","mic"
"3BHS_BOVIN","er","er"
"3BHS_MACMU","er","er"
"4F2_HUMAN","er",
"4F2_MOUSE","er",
"5HT1_DROME","er","pla"
"5HT2_CRIGR","er","pla"
"5HT2_HUMAN","er","pla"
"5HT2_RAT","er","pla"
"5HT3_MOUSE","er",
"5HTA_DROME","er","pla"
"5HTA_HUMAN","er","pla"
"5HTA_RAT","er","pla"
"5HTB_DROME","er","pla"
"5HTB_MOUSE","er","pla"
"5HTB_RAT","er","pla"
"5HTC_HUMAN","er","pla"
"5HTC_RAT","er","pla"
"5HTD_CANFA","er","pla"
"5HTD_HUMAN","er","pla"
"5HTD_RAT","er","pla"
"5HTE_HUMAN","er","pla"
"5HTE_MOUSE","er","pla"
"5HTX_HUMAN","er","pla"
"7LES_DROME",,
"7LES_DROVI",,
"A1AA_HUMAN","er","pla"
"A1AA_RAT","er","pla"
"A1AB_CANFA","er","pla"
"A1AB_MESAU","er","pla"
"A1AB_RAT","er","pla"
"A1AC_BOVIN","er","pla"
"A2AA_HUMAN","er","pla"
"A2AA_MOUSE","er","pla"
"A2AA_PIG","er","pla"
"A2AA_RAT","er","pla"
"A2AB_HUMAN","er","pla"
"A2AB_MOUSE","er","pla"
"A2AB_RAT","er","pla"
"A2AC_HUMAN","er","pla"
"A2AC_MOUSE","er","pla"
"A2AC_RAT","er","pla"
"A4_DROME",,
"A4_HUMAN","er",
"A4_MOUSE","er",
"A4_RAT","er",
"A5_XENLA","er",
"AA1R_BOVIN","er","pla"
"AA1R_CANFA","er","pla"
"AA1R_HUMAN","er","pla"
"AA1R_RAT","er","pla"
"AA2A_CANFA","er","pla"
"AA2A_HUMAN","er","pla"
"AA2A_RAT","er","pla"
"AA2B_HUMAN","er","pla"
"AA2B_RAT","er","pla"
"AA64_HUMAN",,
"ACE_HUMAN","er",
"ACE_MOUSE","er",
"ACE_RABIT","er",
"ACET_HUMAN","er",
"ACET_MOUSE","er",
"ACET_RABIT","er",
"ACH1_DROME","er","pla"
"ACH1_SCHGR","er","pla"
"ACH1_XENLA","er","pla"
"ACH2_CHICK","er","pla"
"ACH2_DROME","er","pla"
"ACH2_RAT","er","pla"
"ACH2_XENLA","er","pla"
"ACH3_CARAU","er","pla"
"ACH3_CHICK","er","pla"
"ACH3_DROME","er","pla"
"ACH3_RAT","er","pla"
"ACH4_CHICK","er","pla"
"ACH4_DROME","er","pla"
"ACH4_RAT","er","pla"
"ACH5_CHICK","er","pla"
"ACH5_HUMAN","er","pla"
"ACH5_RAT","er","pla"
"ACH7_CHICK","er","pla"
"ACHA_BOVIN","er","pla"
"ACHA_CHICK","er","pla"
"ACHA_ELEEL","er","pla"
"ACHA_HUMAN","er","pla"
"ACHA_MOUSE","er","pla"
"ACHA_RAT","er","pla"
"ACHA_TORCA","er","pla"
"ACHA_TORMA","er","pla"
"ACHB_BOVIN","er","pla"
"ACHB_CHICK","er","pla"
"ACHB_ELEEL","er","pla"
"ACHB_HUMAN","er","pla"
"ACHB_MOUSE","er","pla"
"ACHB_RAT","er","pla"
"ACHB_TORCA","er","pla"
"ACHD_BOVIN","er","pla"
"ACHD_CHICK","er","pla"
"ACHD_ELEEL","er","pla"
"ACHD_MOUSE","er","pla"
"ACHD_RAT","er","pla"
"ACHD_TORCA","er","pla"
"ACHD_XENLA","er","pla"
"ACHE_BOVIN","er","pla"
"ACHE_MOUSE","er","pla"
"ACHE_RAT","er","pla"
"ACHG_BOVIN","er","pla"
"ACHG_CHICK","er","pla"
"ACHG_ELEEL","er","pla"
"ACHG_HUMAN","er","pla"
"ACHG_MOUSE","er","pla"
"ACHG_RAT","er","pla"
"ACHG_TORCA","er","pla"
"ACHG_XENLA","er","pla"
"ACHN_CARAU","er","pla"
"ACHN_CHICK","er","pla"
"ACHN_HUMAN","er","pla"
"ACHN_RAT","er","pla"
"ACHO_CARAU","er","pla"
"ACHO_RAT","er","pla"
"ACHP_CARAU","er","pla"
"ACHP_CHICK","er","pla"
"ACHP_RAT","er","pla"
"ACM1_DROME","er","pla"
"ACM1_HUMAN","er","pla"
"ACM1_MOUSE","er","pla"
"ACM1_PIG","er","pla"
"ACM1_RAT","er","pla"
"ACM2_CHICK","er","pla"
"ACM2_HUMAN","er","pla"
"ACM2_PIG","er","pla"
"ACM2_RAT","er","pla"
"ACM3_HUMAN","er","pla"
"ACM3_PIG","er","pla"
"ACM3_RAT","er","pla"
"ACM4_CHICK","er","pla"
"ACM4_HUMAN","er","pla"
"ACM4_RAT","er","pla"
"ACM4_XENLA","er","pla"
"ACM5_HUMAN","er","pla"
"ACM5_RAT","er","pla"
"ACO1_YEAST","er","er"
"AD1_RAT","er","lys"
"ADP1_YEAST","er",
"ADT_CHLRE","mit","inn"
"ADT_NEUCR","mit","inn"
"ADT_RICPR","pro",
"ADT1_BOVIN","mit","inn"
"ADT1_HUMAN","mit","inn"
"ADT1_MAIZE","mit","inn"
"ADT1_SOLTU","mit","inn"
"ADT1_YEAST","mit","inn"
"ADT2_HUMAN","mit","inn"
"ADT2_MAIZE","mit","inn"
"ADT2_SOLTU","mit","inn"
"ADT2_YEAST","mit","inn"
"ADT3_HUMAN","mit","inn"
"ADT3_YEAST","mit","inn"
"AG2R_BOVIN","er","pla"
"AG2R_HUMAN","er","pla"
"AG2R_MOUSE","er","pla"
"AG2R_PIG","er","pla"
"AG2R_RAT","er","pla"
"AG2S_MOUSE","er","pla"
"AG2S_RAT","er","pla"
"AIL_YEREN","pro","out"
"ALG1_YEAST","er",
"ALKB_PSEOL","pro",
"AMA1_PLACH","er",
"AMA1_PLAFA","er",
"AMA1_PLAFR","er",
"AMD_BOVIN","er",
"AMD_HUMAN","er",
"AMD_RAT","er",
"AMD2_XENLA","er",
"AMFR_HUMAN","er",
"AMIC_STRPN","pro","inn"
"AMID_STRPN","pro","inn"
"AMPE_ECOLI","pro","inn"
"AMPE_MOUSE","er",
"AMPN_HUMAN","er",
"AMPN_PIG","er",
"AMPN_RABIT","er",
"AMPN_RAT","er",
"AMPR_HUMAN","er",
"ANPA_HUMAN","er",
"ANPA_MOUSE","er",
"ANPA_RAT","er",
"ANPB_HUMAN","er",
"ANPB_RAT","er",
"ANPC_BOVIN","er",
"ANPC_HUMAN","er",
"AOAH_HUMAN","er",
"AOX1_SAUGU","mit","inn"
"APPB_ECOLI","pro",
"APPC_ECOLI","pro",
"ARAE_ECOLI","pro",
"ARCB_ECOLI","pro",
"ARCD_PSEAE","pro",
"AROP_ECOLI","pro",
"ARP4_STRPY","pro",
"ARSB_ECOLI","pro",
"ARSB_STAAU","pro",
"ARSB_STAXY","pro",
"ASA1_ENTFA","pro",
"ATC1_YEAST",,
"ATC2_YEAST",,
"ATC3_SCHPO",,
"ATCA_RABIT",,
"ATCB_CHICK",,
"ATCB_DROME",,
"ATCB_RABIT",,
"ATCD_FELCA",,
"ATCD_HUMAN",,
"ATCD_PIG",,
"ATCD_RABIT",,
"ATCD_RAT",,
"ATCE_HUMAN",,
"ATCE_PIG",,
"ATCE_RABIT",,
"ATCE_RAT",,
"ATCF_RAT",,
"ATCP_RAT",,
"ATCQ_HUMAN",,
"ATCQ_PIG",,
"ATCQ_RABIT",,
"ATCQ_RAT",,
"ATCR_HUMAN",,
"ATH1_ARATH",,
"ATH1_CANAL",,
"ATH1_LYCES",,
"ATH1_SCHPO",,
"ATH1_YEAST","er",
"ATH2_ARATH",,
"ATH2_LYCES",,
"ATH2_SCHPO",,
"ATH2_YEAST",,
"ATH3_ARATH",,
"ATHA_HUMAN",,
"ATHA_PIG",,
"ATHA_RABIT",,
"ATHA_RAT",,
"ATHB_PIG","er",
"ATHB_RABIT","er",
"ATHB_RAT","er",
"ATHP_NEUCR",,
"ATHP_ZYGRO",,
"ATK_ENTFA","pro",
"ATKB_ECOLI","pro",
"ATMB_SALTY","pro",
"ATMC_SALTY","pro",
"ATN1_BUFMA",,
"ATN1_CHICK",,
"ATN1_HORSE",,
"ATN1_HUMAN",,
"ATN1_PIG",,
"ATN1_RAT",,
"ATN1_SHEEP",,
"ATN2_CHICK",,
"ATN2_RAT",,
"ATN3_CHICK",,
"ATN3_HUMAN",,
"ATN3_PIG",,
"ATN3_RAT",,
"ATNA_ARTSA",,
"ATNA_ARTSF",,
"ATNA_CATCO",,
"ATNA_DROME",,
"ATNA_TORCA",,
"ATNB_ARTSA","er",
"ATNB_BUFMA","er",
"ATNB_CANFA","er",
"ATNB_CHICK","er",
"ATNB_HUMAN","er",
"ATNB_MOUSE","er",
"ATNB_PIG","er",
"ATNB_RAT","er",
"ATNB_SHEEP","er",
"ATNB_TORCA","er",
"ATNC_BUFMA","er",
"ATNC_HUMAN","er",
"ATNC_MOUSE","er",
"ATNC_RAT","er",
"ATNC_XENLA","er",
"ATP6_ANASP","pro",
"ATP6_BACAO","pro",
"ATP6_BACFI","pro",
"ATP6_BACME","pro",
"ATP6_ECOLI","pro",
"ATP6_PROMO","pro",
"ATP6_PSEPU","pro",
"ATP6_RHORU","pro",
"ATP6_SYNP6","pro",
"ATP6_SYNY3","pro",
"ATP6_THEP3","pro",
"ATP6_VIBAL","pro",
"ATP9_BETVU","mit",
"ATP9_HELAN","mit",
"ATP9_MAIZE","mit",
"ATP9_MARPO","mit",
"ATP9_OENBI","mit",
"ATP9_ORYSA","mit",
"ATP9_PARTE","mit",
"ATP9_PEA","mit",
"ATP9_SCHPO","mit",
"ATP9_TOBAC","mit",
"ATP9_WHEAT","mit",
"ATP9_YEAST","mit",
"ATPF_ANASP","pro",
"ATPF_BACFI","pro",
"ATPF_BACME","pro",
"ATPF_BOVIN","mit",
"ATPF_ECOLI","pro",
"ATPF_ENTFA","pro",
"ATPF_EUGGR","chl",
"ATPF_HUMAN","mit",
"ATPF_MARPO","chl",
"ATPF_ODOSI","chl",
"ATPF_ORYSA","chl",
"ATPF_PEA","chl",
"ATPF_PROMO","pro",
"ATPF_RAT","mit",
"ATPF_RHORU","pro",
"ATPF_SPIOL","chl",
"ATPF_SYNP6","pro",
"ATPF_SYNY3","pro",
"ATPF_THEP3","pro",
"ATPF_TOBAC","chl",
"ATPF_VIBAL","pro",
"ATPF_WHEAT","chl",
"ATPH_EUGGR","chl",
"ATPH_MARPO","chl",
"ATPH_ODOSI","chl",
"ATPH_PAVLU","chl",
"ATPH_PEA","chl",
"ATPH_SOYBN","chl",
"ATPH_SPIOL","chl",
"ATPH_TOBAC","chl",
"ATPI_EUGGR","chl",
"ATPI_MAIZE","chl",
"ATPI_MARPO","chl",
"ATPI_ODOSI","chl",
"ATPI_ORYSA","chl",
"ATPI_PAVLU","chl",
"ATPI_PEA","chl",
"ATPI_SPIOL","chl",
"ATPI_TOBAC","chl",
"ATPL_ANASP","pro",
"ATPL_BACAO","pro",
"ATPL_BACFI","pro",
"ATPL_BACME","pro",
"ATPL_BOVIN","mit",
"ATPL_ECOLI","pro",
"ATPL_EMENI","mit",
"ATPL_ENTFA","pro",
"ATPL_HUMAN","mit",
"ATPL_NEUCR","mit",
"ATPL_PROMO","pro",
"ATPL_RHORU","pro",
"ATPL_SHEEP","mit",
"ATPL_SULAC","pro",
"ATPL_SYNP6","pro",
"ATPL_SYNY3","pro",
"ATPL_THEP3","pro",
"ATPL_VIBAL","pro",
"ATPM_BOVIN","mit",
"ATPX_ANASP","pro",
"ATPX_ODOSI","chl",
"ATPX_RHORU","pro",
"ATPX_SYNP6","pro",
"ATPX_SYNY3","pro",
"ATPY_YEAST","mit",
"ATPZ_ANASP","pro",
"ATPZ_BACFI","pro",
"ATPZ_BACME","pro",
"ATPZ_ECOLI","pro",
"ATPZ_PROMO","pro",
"ATPZ_PSEPU","pro",
"ATPZ_RHORU","pro",
"ATPZ_SYNP6","pro",
"ATPZ_THEP3","pro",
"ATPZ_VIBAL","pro",
"ATR1_YEAST","er",
"ATX_SYNP6","pro",
"ATXA_LEIDO",,
"ATXB_LEIDO",,
"AVR2_HUMAN","er",
"AVR2_MOUSE","er",
"AVR2_XENLA","er",
"AVRB_MOUSE","er",
"AVRB_XENLA","er",
"B1AR_HUMAN","er","pla"
"B1AR_MELGA","er","pla"
"B1AR_RAT","er","pla"
"B29_MOUSE","er",
"B2AR_HUMAN","er","pla"
"B2AR_MESAU","er","pla"
"B2AR_MOUSE","er","pla"
"B2AR_RAT","er","pla"
"B3A3_MOUSE","er",
"B3A3_RAT","er",
"B3AR_HUMAN","er","pla"
"B3AR_MOUSE","er","pla"
"B3AR_RAT","er","pla"
"B3AT_CHICK","er",
"B3AT_HUMAN","er",
"B3AT_MOUSE","er",
"B3AT_RAT","er",
"B3LP_HUMAN","er",
"B3LP_MOUSE","er",
"B3LP_RAT","er",
"BAC1_HALS1","pro",
"BAC2_HALS2","pro",
"BACH_HALSP","pro",
"BACH_NATPH","pro",
"BACR_HALHA","pro",
"BACS_HALHA","pro",
"BAG_STRAG","pro",
"BAN7_HUMAN",,
"BARA_ECOLI","pro",
"BASI_MOUSE","er",
"BASI_RAT","er",
"BCSA_ACEXY","pro",
"BCSB_ACEXY","pro",
"BETT_ECOLI","pro",
"BEX1_HAEIN","pro",
"BEX2_HAEIN","pro",
"BEX3_HAEIN","pro",
"BGAT_HUMAN","er","gol"
"BGP1_HUMAN","er",
"BIB_DROME",,
"BIME_EMENI",,
"BIND_ARBPU",,
"BIOY_BACSH","pro",
"BLAR_BACLI","pro",
"BLAR_STAAU","pro",
"BOS1_YEAST","er","gol"
"BOSS_DROME","er",
"BPI_BOVIN","er",
"BPI_HUMAN","er",
"BRAB_PSEAE","pro",
"BRAD_PSEAE","pro",
"BRAE_PSEAE","pro",
"BRAZ_PSEAE","pro",
"BRB2_HUMAN","er","pla"
"BRB2_RAT","er","pla"
"BRNQ_SALTY","pro",
"BROW_DROME",,
"BT1_MAIZE","chl",
"BUTY_BOVIN","er",
"BVGC_BORPE","pro",
"BXA_CLOBO","pro",
"BXC1_CLOBO","pro",
"BXD_CLOBO","pro",
"C114_MOUSE","er",
"C550_BACSU","pro",
"C552_BACAZ","pro",
"C555_BACAZ","pro",
"C561_BOVIN",,
"C5AR_HUMAN","er","pla"
"CAB4_ARATH","chl","thy"
"CADA_BACFI","pro",
"CADA_STAAU","pro",
"CADB_ECOLI","pro",
"CADC_ECOLI","pro",
"CADE_CHICK","er",
"CADE_HUMAN","er",
"CADE_MOUSE","er",
"CADN_BOVIN","er",
"CADN_CHICK","er",
"CADN_HUMAN","er",
"CADN_MOUSE","er",
"CADN_XENLA","er",
"CADP_BOVIN","er",
"CADP_HUMAN","er",
"CADP_MOUSE","er",
"CADR_CHICK","er",
"CAGS_HUMAN","er","gol"
"CAGS_RAT","er","gol"
"CAHH_VACCC","vir","env"
"CAHH_VACCV","vir","env"
"CALR_PIG","er","pla"
"CALX_ARATH","er","er"
"CALX_CANFA","er","er"
"CALX_HUMAN","er","er"
"CALX_YEAST","er","er"
"CAML_MOUSE","er",
"CAN1_YEAST",,
"CANR_HUMAN","er","pla"
"CANR_RAT","er","pla"
"CAPA_BACAN","pro",
"CAPB_BACAN","pro",
"CAR1_DICDI","er","pla"
"CB11_LYCES","chl","thy"
"CB12_LYCES","chl","thy"
"CB12_PETHY","chl","thy"
"CB2_CHLMO","chl","thy"
"CB2_CHLRE","chl","thy"
"CB2_DUNSA","chl","thy"
"CB2_DUNTE","chl","thy"
"CB2_GOSHI","chl","thy"
"CB2_MALDO","chl","thy"
"CB2_PHYPA","chl","thy"
"CB21_ARATH","chl","thy"
"CB21_CUCSA","chl","thy"
"CB21_EUGGR","chl","thy"
"CB21_LEMGI","chl","thy"
"CB21_MAIZE","chl","thy"
"CB21_ORYSA","chl","thy"
"CB21_PEA","chl","thy"
"CB21_PETSP","chl","thy"
"CB21_PINTH","chl","thy"
"CB21_RAPSA","chl","thy"
"CB21_SILPR","chl","thy"
"CB21_SINAL","chl","thy"
"CB21_SOYBN","chl","thy"
"CB21_SPIOL","chl","thy"
"CB21_TOBAC","chl","thy"
"CB21_WHEAT","chl","thy"
"CB22_ARATH","chl","thy"
"CB22_CUCSA","chl","thy"
"CB22_HORVU","chl","thy"
"CB22_MAIZE","chl","thy"
"CB22_ORYSA","chl","thy"
"CB22_PEA","chl","thy"
"CB22_PETSP","chl","thy"
"CB22_PINSY","chl","thy"
"CB22_SOYBN","chl","thy"
"CB22_TOBAC","chl","thy"
"CB23_HORVU","chl","thy"
"CB23_LYCES","chl","thy"
"CB23_NICPL","chl","thy"
"CB23_ORYSA","chl","thy"
"CB23_PEA","chl","thy"
"CB23_PETSP","chl","thy"
"CB23_POLMU","chl","thy"
"CB23_SOYBN","chl","thy"
"CB23_TOBAC","chl","thy"
"CB24_LYCES","chl","thy"
"CB24_PETSP","chl","thy"
"CB24_TOBAC","chl","thy"
"CB25_LYCES","chl","thy"
"CB25_NICPL","chl","thy"
"CB25_PETSP","chl","thy"
"CB25_TOBAC","chl","thy"
"CB26_PETSP","chl","thy"
"CB27_TOBAC","chl","thy"
"CB28_LYCES","chl","thy"
"CB28_PEA","chl","thy"
"CB29_MAIZE","chl","thy"
"CB2A_LYCES","chl","thy"
"CB2A_PINSY","chl","thy"
"CB2A_PYRPY","chl","thy"
"CB2B_LYCES","chl","thy"
"CB2C_LYCES","chl","thy"
"CB2D_LYCES","chl","thy"
"CB2E_LYCES","chl","thy"
"CB2F_LYCES","chl","thy"
"CB2G_LYCES","chl","thy"
"CB4A_LYCES","chl","thy"
"CB4B_LYCES","chl","thy"
"CBEP_COXBU","pro",
"CBP3_YEAST","mit",
"CBR_DUNBA","chl",
"CC25_YEAST",,
"CD19_CAVPO","er",
"CD19_HUMAN","er",
"CD19_MOUSE","er",
"CD1A_HUMAN","er",
"CD1B_HUMAN","er",
"CD1C_HUMAN","er",
"CD1D_HUMAN","er",
"CD1E_HUMAN","er",
"CD2_HUMAN","er",
"CD2_MOUSE","er",
"CD2_RAT","er",
"CD20_HUMAN","er",
"CD20_MOUSE","er",
"CD22_HUMAN","er",
"CD27_HUMAN","er",
"CD28_HUMAN","er",
"CD2R_HUMAN",,
"CD30_HUMAN","er",
"CD33_HUMAN","er",
"CD34_HUMAN","er",
"CD36_HUMAN","er",
"CD37_HUMAN","er",
"CD38_HUMAN","er",
"CD3D_HUMAN","er",
"CD3D_MOUSE","er",
"CD3D_RAT","er",
"CD3D_SHEEP","er",
"CD3E_CANFA",,
"CD3E_HUMAN",,
"CD3E_MOUSE",,
"CD3E_SHEEP",,
"CD3G_HUMAN","er",
"CD3G_MOUSE","er",
"CD3G_SHEEP","er",
"CD3H_MOUSE",,
"CD3Z_HUMAN",,
"CD3Z_MOUSE",,
"CD3Z_SHEEP",,
"CD4_HUMAN","er",
"CD4_MACMU","er",
"CD4_MOUSE","er",
"CD4_PANTR","er",
"CD4_RAT","er",
"CD40_HUMAN","er",
"CD40_MOUSE","er",
"CD44_CRISP","er",
"CD44_MOUSE","er",
"CD44_PAPHA","er",
"CD44_RAT","er",
"CD45_HUMAN","er",
"CD45_MOUSE","er",
"CD45_RAT","er",
"CD4H_HUMAN","er",
"CD4L_HUMAN","er",
"CD4L_MOUSE","er",
"CD4X_HUMAN","er",
"CD5_BOVIN","er",
"CD5_HUMAN","er",
"CD5_MOUSE","er",
"CD53_HUMAN","er",
"CD53_RAT","er",
"CD63_HUMAN","er","lys"
"CD7_HUMAN","er",
"CD72_HUMAN","er",
"CD72_MOUSE","er",
"CD81_HUMAN","er",
"CD82_HUMAN","er",
"CD8A_HUMAN","er",
"CD8A_MOUSE","er",
"CD8A_PONPY","er",
"CD8A_RAT","er",
"CD8B_MOUSE","er",
"CD8B_PONPY","er",
"CD8B_RAT","er",
"CD9_CERAE","er",
"CD9_HUMAN","er",
"CEA_CITFR","pro",
"CEA1_ECOLI","pro",
"CEA1_SHISO","pro",
"CEAB_ECOLI","pro",
"CEAN_ECOLI","pro",
"CEIA_ECOLI","pro",
"CEIB_ECOLI","pro",
"CEK2_CHICK","er",
"CEK3_CHICK","er",
"CELF_HSV11","vir",
"CELF_HSV1K","vir",
"CELF_HSV2H","vir",
"CELF_HSVEB","vir",
"CELF_VZVD","vir",
"CFTR_HUMAN","er",
"CFTR_MOUSE","er",
"CFTR_SQUAC","er",
"CFTR_XENLA","er",
"CGCC_BOVIN",,
"CGCC_HUMAN",,
"CHM1_BOVIN","er",
"CHS1_AJECA",,
"CHS1_AJEDE",,
"CHS1_ASPNG",,
"CHS1_CANAL",,
"CHS1_EMENI",,
"CHS1_EXOJE",,
"CHS1_NEUCR",,
"CHS1_PHAEX",,
"CHS1_RHIAT",,
"CHS1_RHIOL",,
"CHS1_SCHCO",,
"CHS1_SCHPO",,
"CHS1_USTMA",,
"CHS1_WANDE",,
"CHS1_XYLBA",,
"CHS1_YEAST",,
"CHS2_AJECA",,
"CHS2_AJEDE",,
"CHS2_ASPNG",,
"CHS2_CANAL",,
"CHS2_EMENI",,
"CHS2_EXOJE",,
"CHS2_NEUCR",,
"CHS2_PHAEX",,
"CHS2_RHIAT",,
"CHS2_RHIOL",,
"CHS2_USTMA",,
"CHS2_WANDE",,
"CHS2_XYLBA",,
"CHS2_YEAST",,
"CHS3_AJECA",,
"CHS3_CANAL",,
"CHS3_EXOJE",,
"CHS3_NEUCR",,
"CHS3_WANDE",,
"CHS3_YEAST",,
"CIC1_CYPCA","er",
"CIC1_RABIT","er",
"CIC2_RABIT","er",
"CICC_RABIT","er",
"CICC_RAT","er",
"CICG_RABIT","er",
"CICH_TORMA",,
"CIK0_HUMAN","er",
"CIK0_MOUSE","er",
"CIK0_RAT","er",
"CIK1_DROME","er",
"CIK1_MOUSE","er",
"CIK1_RAT","er",
"CIK2_DROME","er",
"CIK2_RAT","er",
"CIK2_XENLA","er",
"CIK3_DROME","er",
"CIK3_HUMAN","er",
"CIK3_MOUSE","er",
"CIK3_RAT","er",
"CIK4_DROME","er",
"CIK4_HUMAN","er",
"CIK4_RAT","er",
"CIK5_HUMAN","er",
"CIK5_RAT","er",
"CIK6_HUMAN","er",
"CIK6_RAT","er",
"CIKA_RAT","er",
"CIKB_DROME","er",
"CIKD_MOUSE","er",
"CIKD_RAT","er",
"CIKE_RAT","er",
"CIKF_RAT","er",
"CIKG_RAT","er",
"CIKL_DROME","er",
"CIKW_DROME","er",
"CIN1_RAT","er",
"CIN2_RAT","er",
"CIN3_RAT","er",
"CINA_ELEEL","er",
"CINC_RAT","er",
"CINS_RAT","er",
"CIT_KLEPN","pro",
"CIT_LACLA","pro",
"CIT1_ECOLI","pro",
"CIT2_ECOLI","pro",
"CITA_SALTY","pro",
"CNCG_MOUSE",,
"CNGC_RAT",,
"CO02_HUMAN","er",
"CO9_HUMAN","er",
"CO9_MOUSE","er",
"CO9_ONCMY","er",
"CODB_ECOLI","pro",
"COMT_HUMAN",,
"COMT_RAT",,
"COP_CLOPE","pro",
"CORA_ECOLI","pro",
"COX1_AMICA","mit",
"COX1_APIME","mit",
"COX1_ASCSU","mit",
"COX1_ATRSP","mit",
"COX1_BALPH","mit",
"COX1_BETVU","mit",
"COX1_BOVIN","mit",
"COX1_CAEEL","mit",
"COX1_CHICK","mit",
"COX1_CHLRE","mit",
"COX1_COTJA","mit",
"COX1_CYPCA","mit",
"COX1_DROME","mit",
"COX1_DROYA","mit",
"COX1_EMENI","mit",
"COX1_GEOSD","mit",
"COX1_GOMVA","mit",
"COX1_HUMAN","mit",
"COX1_KLULA","mit",
"COX1_LEITA","mit",
"COX1_LEPOC","mit",
"COX1_MAIZE","mit",
"COX1_MARPO","mit",
"COX1_MEGAT","mit",
"COX1_MOUSE","mit",
"COX1_NEUCR","mit",
"COX1_OENBE","mit",
"COX1_ORYSA","mit",
"COX1_PANBU","mit",
"COX1_PARDE","pro",
"COX1_PARLI","mit",
"COX1_PARTE","mit",
"COX1_PEA","mit",
"COX1_PHOVI","mit",
"COX1_PISOC","mit",
"COX1_PODAN","mit",
"COX1_POLSP","mit",
"COX1_POLSX","mit",
"COX1_POMNI","mit",
"COX1_RAT","mit",
"COX1_SALTR","mit",
"COX1_SCAPL","mit",
"COX1_SCHPO","mit",
"COX1_SORBI","mit",
