"ID","Nterm"
"1C01_GORGO","o"
"1C01_HUMAN","o"
"1C01_PANTR","o"
"1C01_SAGOE","o"
"1C02_GORGO","o"
"1C02_HUMAN","o"
"1C03_GORGO","o"
"1C03_HUMAN","o"
"1C04_GORGO","o"
"1C04_HUMAN","o"
"1C05_HUMAN","o"
"1C06_HUMAN","o"
"1C07_HUMAN","o"
"1C12_HUMAN","o"
"1C13_HUMAN","o"
"1C14_HUMAN","o"
"1C15_HUMAN","o"
"1C16_HUMAN","o"
"1C17_HUMAN","o"
"1C28_PANTR","o"
"1CXX_HUMAN","o"
"1OKO_GORGO","o"
"3BH1_HUMAN",
"3BH1_MOUSE",
"3BH1_RAT",
"3BH2_HUMAN",
"3BH2_MOUSE",
"3BH2_RAT",
"3BH3_MOUSE",
"3BH3_RAT",
"3BHS_BOVIN",
"3BHS_MACMU",
"4F2_HUMAN","i"
"4F2_MOUSE","i"
"5HT1_DROME","i"
"5HT2_CRIGR","o"
"5HT2_HUMAN","o"
"5HT2_RAT","o"
"5HT3_MOUSE","o"
"5HTA_DROME","o"
"5HTA_HUMAN","o"
"5HTA_RAT","o"
"5HTB_DROME","o"
"5HTB_MOUSE","o"
"5HTB_RAT","o"
"5HTC_HUMAN","o"
"5HTC_RAT","o"
"5HTD_CANFA","o"
"5HTD_HUMAN","o"
"5HTD_RAT","o"
"5HTE_HUMAN","o"
"5HTE_MOUSE","o"
"5HTX_HUMAN","o"
"7LES_DROME","i"
"7LES_DROVI","i"
"A1AA_HUMAN","o"
"A1AA_RAT","o"
"A1AB_CANFA","i"
"A1AB_MESAU","o"
"A1AB_RAT","o"
"A1AC_BOVIN","o"
"A2AA_HUMAN","o"
"A2AA_MOUSE","o"
"A2AA_PIG","o"
"A2AA_RAT","o"
"A2AB_HUMAN","o"
"A2AB_MOUSE","o"
"A2AB_RAT","o"
"A2AC_HUMAN","o"
"A2AC_MOUSE","o"
"A2AC_RAT","o"
"A4_DROME","o"
"A4_HUMAN","o"
"A4_MOUSE","o"
"A4_RAT","o"
"A5_XENLA","o"
"AA1R_BOVIN","o"
"AA1R_CANFA","o"
"AA1R_HUMAN","o"
"AA1R_RAT","o"
"AA2A_CANFA","o"
"AA2A_HUMAN","o"
"AA2A_RAT","o"
"AA2B_HUMAN","o"
"AA2B_RAT","o"
"AA64_HUMAN",
"ACE_HUMAN","o"
"ACE_MOUSE","o"
"ACE_RABIT","o"
"ACET_HUMAN","o"
"ACET_MOUSE","o"
"ACET_RABIT","o"
"ACH1_DROME","o"
"ACH1_SCHGR","o"
"ACH1_XENLA","o"
"ACH2_CHICK","o"
"ACH2_DROME","o"
"ACH2_RAT","o"
"ACH2_XENLA","o"
"ACH3_CARAU","o"
"ACH3_CHICK","o"
"ACH3_DROME","o"
"ACH3_RAT","o"
"ACH4_CHICK","o"
"ACH4_DROME","o"
"ACH4_RAT","o"
"ACH5_CHICK","o"
"ACH5_HUMAN","o"
"ACH5_RAT","o"
"ACH7_CHICK","o"
"ACHA_BOVIN","o"
"ACHA_CHICK","o"
"ACHA_ELEEL",
"ACHA_HUMAN","o"
"ACHA_MOUSE","o"
"ACHA_RAT","o"
"ACHA_TORCA","o"
"ACHA_TORMA","o"
"ACHB_BOVIN","o"
"ACHB_CHICK",
"ACHB_ELEEL",
"ACHB_HUMAN","o"
"ACHB_MOUSE","o"
"ACHB_RAT","o"
"ACHB_TORCA","o"
"ACHD_BOVIN","o"
"ACHD_CHICK","o"
"ACHD_ELEEL",
"ACHD_MOUSE","o"
"ACHD_RAT","o"
"ACHD_TORCA","o"
"ACHD_XENLA","o"
"ACHE_BOVIN","o"
"ACHE_MOUSE","o"
"ACHE_RAT","o"
"ACHG_BOVIN","o"
"ACHG_CHICK","o"
"ACHG_ELEEL",
"ACHG_HUMAN","o"
"ACHG_MOUSE","o"
"ACHG_RAT","o"
"ACHG_TORCA","o"
"ACHG_XENLA","o"
"ACHN_CARAU","o"
"ACHN_CHICK","o"
"ACHN_HUMAN","o"
"ACHN_RAT","o"
"ACHO_CARAU","o"
"ACHO_RAT","o"
"ACHP_CARAU","o"
"ACHP_CHICK","o"
"ACHP_RAT","o"
"ACM1_DROME","o"
"ACM1_HUMAN","o"
"ACM1_MOUSE","o"
"ACM1_PIG","o"
"ACM1_RAT","o"
"ACM2_CHICK","o"
"ACM2_HUMAN","o"
"ACM2_PIG","o"
"ACM2_RAT","o"
"ACM3_HUMAN","o"
"ACM3_PIG","o"
"ACM3_RAT","o"
"ACM4_CHICK","o"
"ACM4_HUMAN","o"
"ACM4_RAT","o"
"ACM4_XENLA","o"
"ACM5_HUMAN","o"
"ACM5_RAT","o"
"ACO1_YEAST",
"AD1_RAT","i"
"ADP1_YEAST",
"ADT_CHLRE",
"ADT_NEUCR",
"ADT_RICPR","i"
"ADT1_BOVIN",
"ADT1_HUMAN",
"ADT1_MAIZE",
"ADT1_SOLTU",
"ADT1_YEAST",
"ADT2_HUMAN",
"ADT2_MAIZE",
"ADT2_SOLTU",
"ADT2_YEAST",
"ADT3_HUMAN",
"ADT3_YEAST",
"AG2R_BOVIN","o"
"AG2R_HUMAN","o"
"AG2R_MOUSE","o"
"AG2R_PIG","o"
"AG2R_RAT","o"
"AG2S_MOUSE","o"
"AG2S_RAT","o"
"AIL_YEREN",
"ALG1_YEAST",
"ALKB_PSEOL",
"AMA1_PLACH","o"
"AMA1_PLAFA","o"
"AMA1_PLAFR","o"
"AMD_BOVIN","o"
"AMD_HUMAN","o"
"AMD_RAT","o"
"AMD2_XENLA","o"
"AMFR_HUMAN","o"
"AMIC_STRPN",
"AMID_STRPN",
"AMPE_ECOLI",
"AMPE_MOUSE","i"
"AMPN_HUMAN","i"
"AMPN_PIG","i"
"AMPN_RABIT",
"AMPN_RAT","i"
"AMPR_HUMAN",
"ANPA_HUMAN","o"
"ANPA_MOUSE","o"
"ANPA_RAT","o"
"ANPB_HUMAN","o"
"ANPB_RAT","o"
"ANPC_BOVIN","o"
"ANPC_HUMAN","o"
"AOAH_HUMAN",
"AOX1_SAUGU",
"APPB_ECOLI","i"
"APPC_ECOLI","i"
"ARAE_ECOLI",
"ARCB_ECOLI",
"ARCD_PSEAE",
"AROP_ECOLI",
"ARP4_STRPY","o"
"ARSB_ECOLI",
"ARSB_STAAU",
"ARSB_STAXY",
"ASA1_ENTFA","o"
"ATC1_YEAST",
"ATC2_YEAST",
"ATC3_SCHPO",
"ATCA_RABIT","i"
"ATCB_CHICK","i"
"ATCB_DROME","i"
"ATCB_RABIT","i"
"ATCD_FELCA","i"
"ATCD_HUMAN","i"
"ATCD_PIG","i"
"ATCD_RABIT","i"
"ATCD_RAT","i"
"ATCE_HUMAN","i"
"ATCE_PIG","i"
"ATCE_RABIT","i"
"ATCE_RAT","i"
"ATCF_RAT",
"ATCP_RAT","i"
"ATCQ_HUMAN","i"
"ATCQ_PIG","i"
"ATCQ_RABIT","i"
"ATCQ_RAT","i"
"ATCR_HUMAN","i"
"ATH1_ARATH","o"
"ATH1_CANAL","i"
"ATH1_LYCES","o"
"ATH1_SCHPO","i"
"ATH1_YEAST","i"
"ATH2_ARATH","o"
"ATH2_LYCES","o"
"ATH2_SCHPO","i"
"ATH2_YEAST","i"
"ATH3_ARATH","o"
"ATHA_HUMAN","i"
"ATHA_PIG","i"
"ATHA_RABIT","i"
"ATHA_RAT","i"
"ATHB_PIG","i"
"ATHB_RABIT","i"
"ATHB_RAT","i"
"ATHP_NEUCR","i"
"ATHP_ZYGRO","i"
"ATK_ENTFA",
"ATKB_ECOLI","i"
"ATMB_SALTY","i"
"ATMC_SALTY",
"ATN1_BUFMA",
"ATN1_CHICK",
"ATN1_HORSE",
"ATN1_HUMAN",
"ATN1_PIG",
"ATN1_RAT",
"ATN1_SHEEP",
"ATN2_CHICK",
"ATN2_RAT",
"ATN3_CHICK",
"ATN3_HUMAN",
"ATN3_PIG",
"ATN3_RAT",
"ATNA_ARTSA",
"ATNA_ARTSF",
"ATNA_CATCO",
"ATNA_DROME",
"ATNA_TORCA",
"ATNB_ARTSA","i"
"ATNB_BUFMA","i"
"ATNB_CANFA","i"
"ATNB_CHICK","i"
"ATNB_HUMAN","i"
"ATNB_MOUSE","i"
"ATNB_PIG","i"
"ATNB_RAT","i"
"ATNB_SHEEP","i"
"ATNB_TORCA","i"
"ATNC_BUFMA","i"
"ATNC_HUMAN","i"
"ATNC_MOUSE","i"
"ATNC_RAT","i"
"ATNC_XENLA","i"
"ATP6_ANASP",
"ATP6_BACAO",
"ATP6_BACFI",
"ATP6_BACME",
"ATP6_ECOLI",
"ATP6_PROMO",
"ATP6_PSEPU",
"ATP6_RHORU",
"ATP6_SYNP6",
"ATP6_SYNY3",
"ATP6_THEP3",
"ATP6_VIBAL",
"ATP9_BETVU",
"ATP9_HELAN",
"ATP9_MAIZE",
"ATP9_MARPO",
"ATP9_OENBI",
"ATP9_ORYSA",
"ATP9_PARTE",
"ATP9_PEA",
"ATP9_SCHPO",
"ATP9_TOBAC",
"ATP9_WHEAT",
"ATP9_YEAST",
"ATPF_ANASP",
"ATPF_BACFI",
"ATPF_BACME",
"ATPF_BOVIN",
"ATPF_ECOLI",
"ATPF_ENTFA",
"ATPF_EUGGR",
"ATPF_HUMAN",
"ATPF_MARPO",
"ATPF_ODOSI",
"ATPF_ORYSA",
"ATPF_PEA",
"ATPF_PROMO",
"ATPF_RAT",
"ATPF_RHORU",
"ATPF_SPIOL",
"ATPF_SYNP6",
"ATPF_SYNY3",
"ATPF_THEP3",
"ATPF_TOBAC",
"ATPF_VIBAL",
"ATPF_WHEAT",
"ATPH_EUGGR",
"ATPH_MARPO",
"ATPH_ODOSI",
"ATPH_PAVLU",
"ATPH_PEA",
"ATPH_SOYBN",
"ATPH_SPIOL",
"ATPH_TOBAC",
"ATPI_EUGGR",
"ATPI_MAIZE",
"ATPI_MARPO",
"ATPI_ODOSI",
"ATPI_ORYSA",
"ATPI_PAVLU",
"ATPI_PEA",
"ATPI_SPIOL",
"ATPI_TOBAC",
"ATPL_ANASP",
"ATPL_BACAO",
"ATPL_BACFI",
"ATPL_BACME",
"ATPL_BOVIN",
"ATPL_ECOLI",
"ATPL_EMENI",
"ATPL_ENTFA",
"ATPL_HUMAN",
"ATPL_NEUCR",
"ATPL_PROMO",
"ATPL_RHORU",
"ATPL_SHEEP",
"ATPL_SULAC",
"ATPL_SYNP6",
"ATPL_SYNY3",
"ATPL_THEP3",
"ATPL_VIBAL",
"ATPM_BOVIN",
"ATPX_ANASP",
"ATPX_ODOSI",
"ATPX_RHORU",
"ATPX_SYNP6",
"ATPX_SYNY3",
"ATPY_YEAST",
"ATPZ_ANASP",
"ATPZ_BACFI",
"ATPZ_BACME",
"ATPZ_ECOLI",
"ATPZ_PROMO",
"ATPZ_PSEPU",
"ATPZ_RHORU",
"ATPZ_SYNP6",
"ATPZ_THEP3",
"ATPZ_VIBAL",
"ATR1_YEAST",
"ATX_SYNP6",
"ATXA_LEIDO",
"ATXB_LEIDO",
"AVR2_HUMAN","o"
"AVR2_MOUSE","o"
"AVR2_XENLA","o"
"AVRB_MOUSE","o"
"AVRB_XENLA","o"
"B1AR_HUMAN","o"
"B1AR_MELGA","o"
"B1AR_RAT","o"
"B29_MOUSE","o"
"B2AR_HUMAN","o"
"B2AR_MESAU","o"
"B2AR_MOUSE","o"
"B2AR_RAT","o"
"B3A3_MOUSE",
"B3A3_RAT",
"B3AR_HUMAN","o"
"B3AR_MOUSE","o"
"B3AR_RAT","o"
"B3AT_CHICK",
"B3AT_HUMAN",
"B3AT_MOUSE",
"B3AT_RAT",
"B3LP_HUMAN",
"B3LP_MOUSE",
"B3LP_RAT",
"BAC1_HALS1","o"
"BAC2_HALS2","o"
"BACH_HALSP","o"
"BACH_NATPH","o"
"BACR_HALHA",
"BACS_HALHA","o"
"BAG_STRAG","o"
"BAN7_HUMAN","o"
"BARA_ECOLI",
"BASI_MOUSE","o"
"BASI_RAT","o"
"BCSA_ACEXY",
"BCSB_ACEXY",
"BETT_ECOLI",
"BEX1_HAEIN",
"BEX2_HAEIN",
"BEX3_HAEIN",
"BGAT_HUMAN","i"
"BGP1_HUMAN","o"
"BIB_DROME",
"BIME_EMENI",
"BIND_ARBPU",
"BIOY_BACSH",
"BLAR_BACLI","i"
"BLAR_STAAU","i"
"BOS1_YEAST",
"BOSS_DROME","o"
"BPI_BOVIN",
"BPI_HUMAN",
"BRAB_PSEAE",
"BRAD_PSEAE",
"BRAE_PSEAE",
"BRAZ_PSEAE",
"BRB2_HUMAN","o"
"BRB2_RAT","o"
"BRNQ_SALTY",
"BROW_DROME",
"BT1_MAIZE",
"BUTY_BOVIN","o"
"BVGC_BORPE",
"BXA_CLOBO",
"BXC1_CLOBO",
"BXD_CLOBO",
"C114_MOUSE","o"
"C550_BACSU",
"C552_BACAZ",
"C555_BACAZ",
"C561_BOVIN","i"
"C5AR_HUMAN","o"
"CAB4_ARATH",
"CADA_BACFI",
"CADA_STAAU",
"CADB_ECOLI",
"CADC_ECOLI",
"CADE_CHICK","o"
"CADE_HUMAN",
"CADE_MOUSE","o"
"CADN_BOVIN","o"
"CADN_CHICK","o"
"CADN_HUMAN","o"
"CADN_MOUSE","o"
"CADN_XENLA","o"
"CADP_BOVIN","o"
"CADP_HUMAN","o"
"CADP_MOUSE","o"
"CADR_CHICK","o"
"CAGS_HUMAN","i"
"CAGS_RAT","i"
"CAHH_VACCC",
"CAHH_VACCV",
"CALR_PIG","o"
"CALX_ARATH",
"CALX_CANFA",
"CALX_HUMAN",
"CALX_YEAST",
"CAML_MOUSE","o"
"CAN1_YEAST",
"CANR_HUMAN","o"
"CANR_RAT","o"
"CAPA_BACAN",
"CAPB_BACAN",
"CAR1_DICDI","o"
"CB11_LYCES",
"CB12_LYCES",
"CB12_PETHY",
"CB2_CHLMO",
"CB2_CHLRE",
"CB2_DUNSA",
"CB2_DUNTE",
"CB2_GOSHI",
"CB2_MALDO",
"CB2_PHYPA",
"CB21_ARATH",
"CB21_CUCSA",
"CB21_EUGGR",
"CB21_LEMGI",
"CB21_MAIZE",
"CB21_ORYSA",
"CB21_PEA",
"CB21_PETSP",
"CB21_PINTH",
"CB21_RAPSA",
"CB21_SILPR",
"CB21_SINAL",
"CB21_SOYBN",
"CB21_SPIOL",
"CB21_TOBAC",
"CB21_WHEAT",
"CB22_ARATH",
"CB22_CUCSA",
"CB22_HORVU",
"CB22_MAIZE",
"CB22_ORYSA",
"CB22_PEA",
"CB22_PETSP",
"CB22_PINSY",
"CB22_SOYBN",
"CB22_TOBAC",
"CB23_HORVU",
"CB23_LYCES",
"CB23_NICPL",
"CB23_ORYSA",
"CB23_PEA",
"CB23_PETSP",
"CB23_POLMU",
"CB23_SOYBN",
"CB23_TOBAC",
"CB24_LYCES",
"CB24_PETSP",
"CB24_TOBAC",
"CB25_LYCES",
"CB25_NICPL",
"CB25_PETSP",
"CB25_TOBAC",
"CB26_PETSP",
"CB27_TOBAC",
"CB28_LYCES",
"CB28_PEA",
"CB29_MAIZE",
"CB2A_LYCES",
"CB2A_PINSY",
"CB2A_PYRPY",
"CB2B_LYCES",
"CB2C_LYCES",
"CB2D_LYCES",
"CB2E_LYCES",
"CB2F_LYCES",
"CB2G_LYCES",
"CB4A_LYCES",
"CB4B_LYCES",
"CBEP_COXBU",
"CBP3_YEAST",
"CBR_DUNBA",
"CC25_YEAST",
"CD19_CAVPO","o"
"CD19_HUMAN","o"
"CD19_MOUSE","o"
"CD1A_HUMAN","o"
"CD1B_HUMAN","o"
"CD1C_HUMAN",
"CD1D_HUMAN","o"
"CD1E_HUMAN","o"
"CD2_HUMAN","o"
"CD2_MOUSE","o"
"CD2_RAT","o"
"CD20_HUMAN",
"CD20_MOUSE",
"CD22_HUMAN","o"
"CD27_HUMAN","o"
"CD28_HUMAN","o"
"CD2R_HUMAN",
"CD30_HUMAN",
"CD33_HUMAN","o"
"CD34_HUMAN","o"
"CD36_HUMAN","o"
"CD37_HUMAN","i"
"CD38_HUMAN","i"
"CD3D_HUMAN","o"
"CD3D_MOUSE","o"
"CD3D_RAT","o"
"CD3D_SHEEP","o"
"CD3E_CANFA","o"
"CD3E_HUMAN","o"
"CD3E_MOUSE","o"
"CD3E_SHEEP","o"
"CD3G_HUMAN","o"
"CD3G_MOUSE","o"
"CD3G_SHEEP","o"
"CD3H_MOUSE","o"
"CD3Z_HUMAN","o"
"CD3Z_MOUSE","o"
"CD3Z_SHEEP","o"
"CD4_HUMAN","o"
"CD4_MACMU","o"
"CD4_MOUSE","o"
"CD4_PANTR","o"
"CD4_RAT","o"
"CD40_HUMAN","o"
"CD40_MOUSE","o"
"CD44_CRISP","o"
"CD44_MOUSE","o"
"CD44_PAPHA","o"
"CD44_RAT","o"
"CD45_HUMAN","o"
"CD45_MOUSE","o"
"CD45_RAT","o"
"CD4H_HUMAN",
"CD4L_HUMAN","i"
"CD4L_MOUSE","i"
"CD4X_HUMAN","o"
"CD5_BOVIN","o"
"CD5_HUMAN","o"
"CD5_MOUSE","o"
"CD53_HUMAN","i"
"CD53_RAT","i"
"CD63_HUMAN","i"
"CD7_HUMAN","o"
"CD72_HUMAN","i"
"CD72_MOUSE","i"
"CD81_HUMAN","o"
"CD82_HUMAN","o"
"CD8A_HUMAN","o"
"CD8A_MOUSE",
"CD8A_PONPY","o"
"CD8A_RAT","o"
"CD8B_MOUSE","o"
"CD8B_PONPY","o"
"CD8B_RAT","o"
"CD9_CERAE","i"
"CD9_HUMAN","i"
"CEA_CITFR",
"CEA1_ECOLI",
"CEA1_SHISO",
"CEAB_ECOLI",
"CEAN_ECOLI",
"CEIA_ECOLI",
"CEIB_ECOLI",
"CEK2_CHICK","o"
"CEK3_CHICK","o"
"CELF_HSV11",
"CELF_HSV1K",
"CELF_HSV2H",
"CELF_HSVEB",
"CELF_VZVD",
"CFTR_HUMAN",
"CFTR_MOUSE",
"CFTR_SQUAC",
"CFTR_XENLA",
"CGCC_BOVIN",
"CGCC_HUMAN",
"CHM1_BOVIN",
"CHS1_AJECA",
"CHS1_AJEDE",
"CHS1_ASPNG",
"CHS1_CANAL",
"CHS1_EMENI",
"CHS1_EXOJE",
"CHS1_NEUCR",
"CHS1_PHAEX",
"CHS1_RHIAT",
"CHS1_RHIOL",
"CHS1_SCHCO",
"CHS1_SCHPO",
"CHS1_USTMA",
"CHS1_WANDE",
"CHS1_XYLBA",
"CHS1_YEAST",
"CHS2_AJECA",
"CHS2_AJEDE",
"CHS2_ASPNG",
"CHS2_CANAL",
"CHS2_EMENI",
"CHS2_EXOJE",
"CHS2_NEUCR",
"CHS2_PHAEX",
"CHS2_RHIAT",
"CHS2_RHIOL",
"CHS2_USTMA",
"CHS2_WANDE",
"CHS2_XYLBA",
"CHS2_YEAST",
"CHS3_AJECA",
"CHS3_CANAL",
"CHS3_EXOJE",
"CHS3_NEUCR",
"CHS3_WANDE",
"CHS3_YEAST",
"CIC1_CYPCA",
"CIC1_RABIT",
"CIC2_RABIT",
"CICC_RABIT",
"CICC_RAT",
"CICG_RABIT",
"CICH_TORMA","i"
"CIK0_HUMAN",
"CIK0_MOUSE",
"CIK0_RAT",
"CIK1_DROME",
"CIK1_MOUSE",
"CIK1_RAT",
"CIK2_DROME",
"CIK2_RAT",
"CIK2_XENLA",
"CIK3_DROME",
"CIK3_HUMAN",
"CIK3_MOUSE",
"CIK3_RAT",
"CIK4_DROME",
"CIK4_HUMAN",
"CIK4_RAT",
"CIK5_HUMAN",
"CIK5_RAT",
"CIK6_HUMAN",
"CIK6_RAT",
"CIKA_RAT",
"CIKB_DROME",
"CIKD_MOUSE",
"CIKD_RAT",
"CIKE_RAT","i"
"CIKF_RAT","i"
"CIKG_RAT","i"
"CIKL_DROME",
"CIKW_DROME",
"CIN1_RAT",
"CIN2_RAT",
"CIN3_RAT",
"CINA_ELEEL",
"CINC_RAT",
"CINS_RAT",
"CIT_KLEPN",
"CIT_LACLA",
"CIT1_ECOLI",
"CIT2_ECOLI",
"CITA_SALTY",
"CNCG_MOUSE",
"CNGC_RAT",
"CO02_HUMAN","i"
"CO9_HUMAN",
"CO9_MOUSE",
"CO9_ONCMY",
"CODB_ECOLI","i"
"COMT_HUMAN",
"COMT_RAT",
"COP_CLOPE",
"CORA_ECOLI",
"COX1_AMICA",
"COX1_APIME",
"COX1_ASCSU",
"COX1_ATRSP",
"COX1_BALPH",
"COX1_BETVU",
"COX1_BOVIN",
"COX1_CAEEL",
"COX1_CHICK",
"COX1_CHLRE",
"COX1_COTJA",
"COX1_CYPCA",
"COX1_DROME",
"COX1_DROYA",
"COX1_EMENI",
"COX1_GEOSD",
"COX1_GOMVA",
"COX1_HUMAN",
"COX1_KLULA",
"COX1_LEITA",
"COX1_LEPOC",
"COX1_MAIZE",
"COX1_MARPO",
"COX1_MEGAT",
"COX1_MOUSE",
"COX1_NEUCR",
"COX1_OENBE",
"COX1_ORYSA",
"COX1_PANBU",
"COX1_PARDE",
"COX1_PARLI",
"COX1_PARTE",
"COX1_PEA",
"COX1_PHOVI",
"COX1_PISOC",
"COX1_PODAN",
"COX1_POLSP",
"COX1_POLSX",
"COX1_POMNI",
"COX1_RAT",
"COX1_SALTR",
"COX1_SCAPL",
"COX1_SCHPO",
"COX1_SORBI",
"COX1_SOYBN",
"COX1_STRPU",
"COX1_TETPY",
"COX1_THEP3",
"COX1_TRYBB",
"COX1_WHEAT",
"COX1_XENLA",
"COX1_YEAST",
"COX2_ACHDO",
"COX2_ADABI",
"COX2_AMICA",
"COX2_APIME",
"COX2_ASCSU",
"COX2_ASTPE",
"COX2_ATRSP",
"COX2_BALPH",
"COX2_BOVIN",
"COX2_CAEEL",
"COX2_CERAE",
"COX2_CHICK",
"COX2_CTEFE",
"COX2_CYPCA",
"COX2_DAUCA",
"COX2_DROAI",
"COX2_DROAL",
"COX2_DROAM",
"COX2_DROAT",
"COX2_DROAZ",
"COX2_DROBF",
"COX2_DROLO",
"COX2_DROME",
"COX2_DRONR",
"COX2_DROPS",
"COX2_DROSU",
"COX2_DROYA",
"COX2_EMENI",
"COX2_EXERO",
"COX2_GALME",
"COX2_GEOSD",
"COX2_GOMVA",
"COX2_GORGO",
"COX2_HANSA",
"COX2_HUMAN",
"COX2_HYLSY",
"COX2_KLULA",
"COX2_LASSP",
"COX2_LEITA",
"COX2_LEPOC",
"COX2_LOCMI",
"COX2_MACFA",
"COX2_MAIZE",
"COX2_MARPO",
"COX2_MEGAT",
"COX2_MICPE",
"COX2_MOUSE",
"COX2_NEUCR",
"COX2_OENBE",
"COX2_ONCFA",
"COX2_ORYSA",
"COX2_PANPA",
"COX2_PARDE",
"COX2_PARLI",
"COX2_PARPR",
"COX2_PARTE",
"COX2_PEA",
"COX2_PERAM",
"COX2_PHOVI",
"COX2_PISOC",
"COX2_PNECA",
"COX2_PODAN",
"COX2_POLSX",
"COX2_RAT",
"COX2_SCAPL",
"COX2_SCHGR",
"COX2_SCHPO",
"COX2_SITGR",
"COX2_SOYBN",
"COX2_STRPU",
"COX2_SYMST",
"COX2_TRYBB",
"COX2_WHEAT",
"COX2_XENLA",
"COX2_YEAST",
"COX2_ZOOAN",
"COX3_ASCSU",
"COX3_BALPH",
"COX3_BOVIN",
"COX3_CAEEL",
"COX3_CHICK",
"COX3_CYPCA",
"COX3_DROME",
"COX3_DROYA",
"COX3_EMENI",
"COX3_HUMAN",
"COX3_LEITA",
"COX3_LOCMI",
"COX3_MAIZE",
"COX3_MARPO",
"COX3_MOUSE",
"COX3_NEUCR",
"COX3_OENBE",
"COX3_ONCNE",
"COX3_ORYSA",
"COX3_PARDE",
"COX3_PARLI",
"COX3_PHOVI",
"COX3_PISOC",
"COX3_RAT",
"COX3_SALCL",
"COX3_SCHCO",
"COX3_SCHPO",
"COX3_SOYBN",
"COX3_STRPU",
"COX3_WHEAT",
"COX3_XENLA",
"COX3_YEAST",
"COX5_NEUCR",
"COX6_DICDI",
"COX7_YEAST",
"COX9_YEAST",
"COXX_PARDE",
"COXZ_PARDE",
"COXZ_YEAST",
"CP5A_CANTR",
"CP5B_CANTR",
"CP5C_CANMA",
"CP5E_CANMA",
"CP5F_CANTR",
"CP5G_CANTR",
"CP5H_CANTR",
"CP5I_CANTR",
"CP5J_CANTR",
"CP71_PERAE",
"CPT1_YEAST","o"
"CPTR_PEA",
"CPTR_SOLTU",
"CPTR_SPIOL",
"CPXA_ECOLI",
"CR1_HUMAN","o"
"CR2_HUMAN","o"
"CR2_MOUSE","o"
"CRB_DROME","o"
"CREC_ECOLI",
"CRNA_EMENI","i"
"CRTI_NEUCR",
"CSCB_ECOLI",
"CSG_HALHA",
"CSG_HALVO",
"CSG_METFE",
"CSG_METSC",
"CTL4_HUMAN","o"
"CTL4_MOUSE","o"
"CTR_YEAST",
"CVAB_ECOLI",
"CX26_HUMAN","i"
"CX26_MOUSE","i"
"CX26_RAT","i"
"CX30_RAT","i"
"CX30_XENLA","i"
"CX31_MOUSE","i"
"CX31_RAT","i"
